end_station_name,station_end_trip_count,station_lat,station_lng,search_radius_m,service_category,service_lat,service_lng,name,amenity,shop,tourism,office,leisure,public_transport,railway,healthcare
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,food_drink,41.8889423,-87.6357074,Nick's Fishmarket Grill,restaurant,,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,tourism,41.888135600000005,-87.6378473,Holiday Inn Chicago Mart Plaza,,,hotel,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,other_amenity,41.8893592,-87.6386978,,parking_entrance,,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,food_drink,41.8900973,-87.6363899,Subway,fast_food,,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,retail,41.8902382,-87.637207,Gordon's Ace Hardware - Orleans,,doityourself,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,retail,41.890353700000006,-87.63724,Petco,,pet,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,food_drink,41.889786599999994,-87.6371788,Starbucks,cafe,,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,food_drink,41.88926159999999,-87.63716940000002,Subway,fast_food,,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,other_amenity,41.888314099999995,-87.6364539,Orleans St & Merchandise Mart Plaza,bicycle_rental,,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,health,41.89008539999999,-87.637203,CVS Pharmacy,pharmacy,,,,,,,pharmacy
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,tourism,41.887856799999994,-87.635529,Aaron Montgomery Ward,,,artwork,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,retail,41.89138609999999,-87.6357742,The UPS Store,post_office,copyshop,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,food_drink,41.8900946,-87.6357331,Coco Pazzo,restaurant,,,,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,office,41.88872669999999,-87.6360777,Braintree,,,,company,,,,
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,250,transit,41.888597199999985,-87.63675990000002,Orleans & Merchandise Mart,,,,,,platform,,
