layer_name,day_type,condition_type,condition_value,service_category,stations_considered,service_points_shown
weekday | rainy | service: transit,weekday,rain,rainy,transit,20,640
weekday | rainy | service: food_drink,weekday,rain,rainy,food_drink,20,497
weekday | rainy | service: retail,weekday,rain,rainy,retail,20,258
weekday | rainy | service: office,weekday,rain,rainy,office,20,102
weekday | rainy | service: tourism,weekday,rain,rainy,tourism,20,84
weekday | rainy | service: recreation,weekday,rain,rainy,recreation,20,903
weekday | rainy | service: education,weekday,rain,rainy,education,20,30
weekday | rainy | service: health,weekday,rain,rainy,health,20,25
weekday | rainy | service: other_amenity,weekday,rain,rainy,other_amenity,20,1338
weekday | dry | service: transit,weekday,rain,dry,transit,20,647
weekday | dry | service: food_drink,weekday,rain,dry,food_drink,20,549
weekday | dry | service: retail,weekday,rain,dry,retail,20,281
weekday | dry | service: office,weekday,rain,dry,office,20,106
weekday | dry | service: tourism,weekday,rain,dry,tourism,20,73
weekday | dry | service: recreation,weekday,rain,dry,recreation,20,912
weekday | dry | service: education,weekday,rain,dry,education,20,25
weekday | dry | service: health,weekday,rain,dry,health,20,26
weekday | dry | service: other_amenity,weekday,rain,dry,other_amenity,20,1313
weekday | cold | service: transit,weekday,cold,cold,transit,20,639
weekday | cold | service: food_drink,weekday,cold,cold,food_drink,20,513
weekday | cold | service: retail,weekday,cold,cold,retail,20,272
weekday | cold | service: office,weekday,cold,cold,office,20,102
weekday | cold | service: tourism,weekday,cold,cold,tourism,20,61
weekday | cold | service: recreation,weekday,cold,cold,recreation,20,834
weekday | cold | service: education,weekday,cold,cold,education,20,33
weekday | cold | service: health,weekday,cold,cold,health,20,26
weekday | cold | service: other_amenity,weekday,cold,cold,other_amenity,20,1292
weekday | mild | service: transit,weekday,cold,mild,transit,20,634
weekday | mild | service: food_drink,weekday,cold,mild,food_drink,20,489
weekday | mild | service: retail,weekday,cold,mild,retail,20,256
weekday | mild | service: office,weekday,cold,mild,office,20,101
weekday | mild | service: tourism,weekday,cold,mild,tourism,20,81
weekday | mild | service: recreation,weekday,cold,mild,recreation,20,896
weekday | mild | service: education,weekday,cold,mild,education,20,24
weekday | mild | service: health,weekday,cold,mild,health,20,24
weekday | mild | service: other_amenity,weekday,cold,mild,other_amenity,20,1281
weekend | rainy | service: transit,weekend,rain,rainy,transit,20,168
weekend | rainy | service: food_drink,weekend,rain,rainy,food_drink,20,151
weekend | rainy | service: retail,weekend,rain,rainy,retail,20,93
weekend | rainy | service: office,weekend,rain,rainy,office,20,10
weekend | rainy | service: tourism,weekend,rain,rainy,tourism,20,41
weekend | rainy | service: recreation,weekend,rain,rainy,recreation,20,344
weekend | rainy | service: education,weekend,rain,rainy,education,20,11
weekend | rainy | service: health,weekend,rain,rainy,health,20,10
weekend | rainy | service: other_amenity,weekend,rain,rainy,other_amenity,20,344
weekend | dry | service: transit,weekend,rain,dry,transit,20,168
weekend | dry | service: food_drink,weekend,rain,dry,food_drink,20,151
weekend | dry | service: retail,weekend,rain,dry,retail,20,93
weekend | dry | service: office,weekend,rain,dry,office,20,10
weekend | dry | service: tourism,weekend,rain,dry,tourism,20,41
weekend | dry | service: recreation,weekend,rain,dry,recreation,20,344
weekend | dry | service: education,weekend,rain,dry,education,20,11
weekend | dry | service: health,weekend,rain,dry,health,20,10
weekend | dry | service: other_amenity,weekend,rain,dry,other_amenity,20,344
weekend | cold | service: transit,weekend,cold,cold,transit,20,295
weekend | cold | service: food_drink,weekend,cold,cold,food_drink,20,330
weekend | cold | service: retail,weekend,cold,cold,retail,20,169
weekend | cold | service: office,weekend,cold,cold,office,20,34
weekend | cold | service: tourism,weekend,cold,cold,tourism,20,44
weekend | cold | service: recreation,weekend,cold,cold,recreation,20,393
weekend | cold | service: education,weekend,cold,cold,education,20,23
weekend | cold | service: health,weekend,cold,cold,health,20,16
weekend | cold | service: other_amenity,weekend,cold,cold,other_amenity,20,591
weekend | mild | service: transit,weekend,cold,mild,transit,20,168
weekend | mild | service: food_drink,weekend,cold,mild,food_drink,20,151
weekend | mild | service: retail,weekend,cold,mild,retail,20,93
weekend | mild | service: office,weekend,cold,mild,office,20,10
weekend | mild | service: tourism,weekend,cold,mild,tourism,20,41
weekend | mild | service: recreation,weekend,cold,mild,recreation,20,344
weekend | mild | service: education,weekend,cold,mild,education,20,11
weekend | mild | service: health,weekend,cold,mild,health,20,10
weekend | mild | service: other_amenity,weekend,cold,mild,other_amenity,20,344
