layer_name,day_type,condition_type,condition_value,service_col,stations_shown,service_points_shown,total_returns_in_condition
weekday | rainy | transit,weekday,rain,rainy,transit,7,319,765728
weekday | rainy | food_drink,weekday,rain,rainy,food_drink,3,112,765728
weekday | rainy | retail,weekday,rain,rainy,retail,1,7,765728
weekday | rainy | recreation,weekday,rain,rainy,recreation,9,878,765728
weekday | dry | transit,weekday,rain,dry,transit,7,319,2336577
weekday | dry | food_drink,weekday,rain,dry,food_drink,3,112,2336577
weekday | dry | retail,weekday,rain,dry,retail,1,7,2336577
weekday | dry | recreation,weekday,rain,dry,recreation,9,878,2336577
weekday | cold | transit,weekday,cold,cold,transit,7,319,285975
weekday | cold | food_drink,weekday,cold,cold,food_drink,3,112,285975
weekday | cold | retail,weekday,cold,cold,retail,1,7,285975
weekday | cold | recreation,weekday,cold,cold,recreation,9,878,285975
weekday | mild | transit,weekday,cold,mild,transit,7,319,2816330
weekday | mild | food_drink,weekday,cold,mild,food_drink,3,112,2816330
weekday | mild | retail,weekday,cold,mild,retail,1,7,2816330
weekday | mild | recreation,weekday,cold,mild,recreation,9,878,2816330
weekend | rainy | transit,weekend,rain,rainy,transit,7,319,346451
weekend | rainy | food_drink,weekend,rain,rainy,food_drink,3,112,346451
weekend | rainy | retail,weekend,rain,rainy,retail,1,7,346451
weekend | rainy | recreation,weekend,rain,rainy,recreation,9,878,346451
weekend | dry | transit,weekend,rain,dry,transit,7,319,860753
weekend | dry | food_drink,weekend,rain,dry,food_drink,3,112,860753
weekend | dry | retail,weekend,rain,dry,retail,1,7,860753
weekend | dry | recreation,weekend,rain,dry,recreation,9,878,860753
weekend | cold | transit,weekend,cold,cold,transit,7,319,80733
weekend | cold | food_drink,weekend,cold,cold,food_drink,3,112,80733
weekend | cold | retail,weekend,cold,cold,retail,1,7,80733
weekend | cold | recreation,weekend,cold,cold,recreation,9,878,80733
weekend | mild | transit,weekend,cold,mild,transit,7,319,1126471
weekend | mild | food_drink,weekend,cold,mild,food_drink,3,112,1126471
weekend | mild | retail,weekend,cold,mild,retail,1,7,1126471
weekend | mild | recreation,weekend,cold,mild,recreation,9,878,1126471
