condition_type,condition_value,day_type,rank_in_group,end_station_name,return_count,return_share,total_returns_in_group,end_lat,end_lng
cold,cold,weekday,1,Clinton St & Washington Blvd,4067,0.014221522860389895,285975,41.883378993326986,-87.64117008864396
cold,cold,weekday,2,Canal St & Madison St,3877,0.013557129119678294,285975,41.882409,-87.639767
cold,cold,weekday,3,Kingsbury St & Kinzie St,3474,0.012147915027537372,285975,41.889172621529056,-87.63849963502554
cold,cold,weekday,4,Clinton St & Madison St,3333,0.011654864935746133,285975,41.88275006331282,-87.64119022354309
cold,cold,weekday,5,Clinton St & Jackson Blvd,2750,0.00961622519451001,285975,41.87831662050808,-87.64098109175531
cold,cold,weekday,6,Canal St & Adams St,2695,0.00942390069061981,285975,41.879255,-87.639904
cold,cold,weekday,7,University Ave & 57th St,2534,0.008860914415595769,285975,41.79147800295527,-87.59986050810642
cold,cold,weekday,8,State St & Chicago Ave,2208,0.007720954628901128,285975,41.896617200407526,-87.62857854366302
cold,cold,weekday,9,Clinton St & Lake St,2132,0.0074551971326164874,285975,41.885637,-87.641823
cold,cold,weekday,10,Ellis Ave & 60th St,2077,0.007262872628726287,285975,41.78509714636001,-87.6010727606
cold,cold,weekday,11,LaSalle St & Jackson Blvd,2070,0.007238394964594807,285975,41.878166,-87.631929
cold,cold,weekday,12,Daley Center Plaza,2057,0.007192936445493487,285975,41.88424087537072,-87.62963348535213
cold,cold,weekday,13,Clark St & Elm St,1958,0.006846752338491127,285975,41.90301732164141,-87.63152289470456
cold,cold,weekday,14,Orleans St & Merchandise Mart Plaza,1937,0.006773319346096687,285975,41.888243,-87.63638999999999
cold,cold,weekday,15,Wells St & Hubbard St,1927,0.006738351254480287,285975,41.889906,-87.634266
cold,cold,weekday,16,Franklin St & Monroe St,1830,0.006399160765801206,285975,41.88031616332084,-87.63518440237203
cold,cold,weekday,17,Ellis Ave & 55th St,1744,0.006098435177900166,285975,41.79430062054,-87.6014497734
cold,cold,weekday,18,Larrabee St & Kingsbury St,1732,0.006056473467960486,285975,41.897764,-87.642884
cold,cold,weekday,19,Wells St & Elm St,1701,0.005948072383949646,285975,41.903222,-87.634324
cold,cold,weekday,20,Wells St & Concord Ln,1684,0.005888626628201766,285975,41.912133,-87.634656
cold,cold,weekend,1,Kingsbury St & Kinzie St,971,0.012027299864987056,80733,41.889172621529056,-87.63849963502554
cold,cold,weekend,2,University Ave & 57th St,875,0.010838195037964649,80733,41.79147800295527,-87.59986050810642
cold,cold,weekend,3,State St & Chicago Ave,787,0.009748182279860776,80733,41.896617200407526,-87.62857854366302
cold,cold,weekend,4,Ellis Ave & 60th St,758,0.00938897353003109,80733,41.78509714636001,-87.6010727606
cold,cold,weekend,5,Clark St & Elm St,754,0.009339427495571824,80733,41.90301732164141,-87.63152289470456
cold,cold,weekend,6,Wells St & Concord Ln,722,0.008943059219897687,80733,41.912133,-87.634656
cold,cold,weekend,7,Wells St & Elm St,676,0.008373279823616117,80733,41.903222,-87.634324
cold,cold,weekend,8,Ellis Ave & 55th St,606,0.0075062242205789454,80733,41.79430062054,-87.6014497734
cold,cold,weekend,9,Broadway & Waveland Ave,516,0.006391438445245439,80733,41.949074,-87.648636
