end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,end_lat,end_lng,total_return_count,weekend_minus_weekday_share,weekday_minus_weekend_share,weekend_weekday_share_ratio,orientation
Kingsbury St & Kinzie St,31094.0,8919.0,0.010022870091754357,0.00738814649388173,41.889172621529056,-87.63849963502554,40013.0,-0.0026347235978726275,0.0026347235978726275,0.7371288552199211,weekday_oriented
Clinton St & Washington Blvd,29100.0,1489.0,0.009380122199461369,0.0012334286500044732,41.883378993326986,-87.64117008864396,30589.0,-0.008146693549456895,0.008146693549456895,0.13149397121727568,weekday_oriented
Canal St & Madison St,26693.0,2608.0,0.00860424748694922,0.002160363948429594,41.882409,-87.639767,29301.0,-0.006443883538519626,0.006443883538519626,0.25108118991523776,weekday_oriented
Clinton St & Madison St,25104.0,4057.0,0.008092047687122962,0.0033606581820471103,41.88275006331282,-87.64119022354309,29161.0,-0.004731389505075852,0.004731389505075852,0.41530387569157784,weekday_oriented
Clinton St & Jackson Blvd,21413.0,2302.0,0.0069022871703459205,0.0019068856630693736,41.87831662050808,-87.64098109175531,23715.0,-0.004995401507276547,0.004995401507276547,0.27626877000903405,weekday_oriented
Michigan Ave & Oak St,21157.0,13471.0,0.006819767882268185,0.011158843078717434,41.90096039009614,-87.62377663865593,34628.0,0.004339075196449249,-0.004339075196449249,1.6362495960429257,weekend_oriented
Clark St & Elm St,20810.0,8555.0,0.006707915566006566,0.007086623304760422,41.903017321641414,-87.63152289470456,29365.0,0.00037870773875385566,-0.00037870773875385566,1.056456834998965,weekend_oriented
DuSable Lake Shore Dr & Monroe St,20698.0,17218.0,0.006671813377472557,0.014262709533765627,41.880958,-87.616743,37916.0,0.00759089615629307,-0.00759089615629307,2.137755897694606,weekend_oriented
DuSable Lake Shore Dr & North Blvd,19730.0,14940.0,0.0063597873194286185,0.012375704520528427,41.911722,-87.626804,34670.0,0.006015917201099809,-0.006015917201099809,1.9459304144953513,weekend_oriented
Canal St & Adams St,19724.0,1747.0,0.006357853273614296,0.0014471456357003456,41.879255,-87.639904,21471.0,-0.004910707637913951,0.004910707637913951,0.22761557176705707,weekday_oriented
State St & Chicago Ave,19184.0,6966.0,0.006183789150325323,0.005770358613788556,41.896617200407526,-87.62857854366302,26150.0,-0.0004134305365367666,0.0004134305365367666,0.9331428579420639,weekday_oriented
Navy Pier,19160.0,15617.0,0.006176052967068035,0.012936504517877674,41.892278,-87.612043,34777.0,0.00676045155080964,-0.00676045155080964,2.094623134263031,weekend_oriented
Franklin St & Monroe St,18703.0,774.0,0.006028743144210515,0.0006411509570876173,41.88031616332084,-87.63518440237203,19477.0,-0.005387592187122897,0.005387592187122897,0.10634917351789167,weekday_oriented
Wells St & Concord Ln,18316.0,9219.0,0.00590399718918675,0.0076366546167839075,41.912133,-87.634656,27535.0,0.0017326574275971576,-0.0017326574275971576,1.2934718765277642,weekend_oriented
Daley Center Plaza,18249.0,3266.0,0.0058824003442601545,0.0027054250979950366,41.88424087537072,-87.62963348535213,21515.0,-0.003176975246265118,0.003176975246265118,0.45991865220738437,weekday_oriented
Wells St & Elm St,18124.0,8113.0,0.005842107723128448,0.006720488003684547,41.903222,-87.634324,26237.0,0.000878380280556099,-0.000878380280556099,1.1503532923101312,weekend_oriented
Streeter Dr & Grand Ave,17854.0,12071.0,0.0057550756614839615,0.009999138505173939,41.892278002970286,-87.61204300164603,29925.0,0.004244062843689977,-0.004244062843689977,1.7374467958165536,weekend_oriented
Wells St & Huron St,17689.0,6052.0,0.005701889401590108,0.005013237199346589,41.89478399980203,-87.6343724037867,23741.0,-0.0006886522022435193,0.0006886522022435193,0.8792238794959173,weekday_oriented
Millennium Park,17129.0,10356.0,0.005521378458920061,0.008578500402583159,41.8810317,-87.62408432,27485.0,0.0030571219436630976,-0.0030571219436630976,1.5536880713250318,weekend_oriented
Orleans St & Merchandise Mart Plaza,16865.0,3074.0,0.005436280443089896,0.002546379899337643,41.888243,-87.63638999999999,19939.0,-0.0028899005437522532,0.0028899005437522532,0.4684049061835033,weekday_oriented
