end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat_x,end_lng_x,end_trip_count,end_lat_y,end_lng_y,education,food_drink,health,office,other_amenity,recreation,retail,tourism,transit,total_services_250m
Streeter Dr & Grand Ave,20462.0,9463.0,0.006399714762004548,0.008508522459064593,29925.0,0.002108807697060045,1.329515837184543,41.892278002970286,-87.61204300164603,7584,41.8922419,-87.6119493,0.0,7.0,0.0,0.0,72.0,76.0,4.0,19.0,22.0,200.0
Clark St & Elm St,21444.0,7921.0,0.006706846024651819,0.007122054992946279,29365.0,0.0004152089682944605,1.061908221071438,41.903017321641414,-87.63152289470456,6941,41.9029296,-87.6313227,2.0,37.0,2.0,1.0,31.0,14.0,20.0,3.0,48.0,158.0
Clinton St & Jackson Blvd,17336.0,6379.0,0.0054220240012760644,0.005735587526827965,23715.0,0.0003135635255519008,1.0578314422154276,41.87831662050808,-87.64098109175531,5916,41.8784565,-87.6409984,3.0,32.0,2.0,8.0,138.0,67.0,14.0,3.0,85.0,352.0
Kingsbury St & Kinzie St,29446.0,10567.0,0.009209559225979177,0.009501168427024786,40013.0,0.00029160920104560895,1.031663748744811,41.889172621529056,-87.63849963502554,10495,41.8891873,-87.638528,0.0,13.0,1.0,1.0,74.0,101.0,9.0,3.0,5.0,207.0
Clinton St & Washington Blvd,22527.0,8062.0,0.00704556614425161,0.007248833146462934,30589.0,0.00020326700221132404,1.028850339234531,41.883378993326986,-87.64117008864396,7856,41.8834683,-87.6411569,0.0,63.0,1.0,11.0,147.0,93.0,31.0,5.0,70.0,421.0
Daley Center Plaza,15852.0,5663.0,0.004957886736745972,0.0050918062649987095,21515.0,0.00013391952825273726,1.0270114079550807,41.88424087537072,-87.62963348535213,4892,41.8841812,-87.6296407,3.0,44.0,5.0,27.0,183.0,51.0,29.0,13.0,76.0,431.0
Michigan Ave & Washington St,16087.0,5734.0,0.005031385562328568,0.005155644909677309,21821.0,0.0001242593473487416,1.024696839690098,41.88398406449815,-87.62468397185215,4840,41.883885,-87.6246938,3.0,63.0,7.0,12.0,132.0,102.0,47.0,18.0,55.0,439.0
University Ave & 57th St,15453.0,5495.0,0.004833095113735523,0.004940751443787376,20948.0,0.00010765633005185328,1.0222748167051545,41.791478002955266,-87.59986050810642,6980,41.7914785,-87.5998378,6.0,8.0,1.0,1.0,57.0,7.0,2.0,3.0,6.0,91.0
Wells St & Elm St,19382.0,6855.0,0.006061932925284535,0.0061635761869267445,26237.0,0.00010164326164220985,1.0167674644585374,41.903222,-87.634324,5756,41.9032468,-87.6343279,4.0,18.0,2.0,1.0,34.0,24.0,14.0,1.0,31.0,129.0
State St & Chicago Ave,19357.0,6793.0,0.006054113901286386,0.006107829764813038,26150.0,5.371586352665228e-05,1.008872620424703,41.896617200407526,-87.62857854366302,5452,41.8965841,-87.6286602,4.0,54.0,1.0,6.0,39.0,17.0,22.0,7.0,30.0,180.0
Canal St & Madison St,21698.0,7603.0,0.006786287308473007,0.006836129795653397,29301.0,4.984248718039024e-05,1.0073445873376996,41.882409,-87.639767,7507,41.8816545,-87.6395712,1.0,48.0,1.0,17.0,146.0,135.0,27.0,2.0,57.0,434.0
Larrabee St & Kingsbury St,13508.0,4710.0,0.0042247750466795735,0.004234929808960608,18218.0,1.0154762281034367e-05,1.002403621439062,41.897764,-87.642884,5328,41.897744,-87.642884,0.0,5.0,1.0,1.0,12.0,6.0,7.0,0.0,6.0,38.0
Wells St & Hubbard St,15823.0,5515.0,0.00494881666890812,0.004958734160598249,21338.0,9.917491690129496e-06,1.0020040123426728,41.889906,-87.634266,4800,41.8898997,-87.6342914,1.0,67.0,2.0,5.0,104.0,92.0,29.0,11.0,35.0,346.0
Ellis Ave & 60th St,13105.0,4560.0,0.00409873237982942,0.0041000594328790595,17665.0,1.3270530496390862e-06,1.0003237714988171,41.78509714636001,-87.6010727606,6237,41.7851231,-87.6010967,3.0,1.0,0.0,1.0,35.0,12.0,2.0,0.0,15.0,69.0
Dearborn Pkwy & Delaware Pl,15941.0,5540.0,0.004985722462179381,0.0049812125566118404,21481.0,-4.509905567540856e-06,0.9990954360782839,41.898969,-87.629912,5056,41.8989441,-87.6299106,6.0,26.0,1.0,0.0,28.0,16.0,31.0,4.0,35.0,147.0
Wells St & Concord Ln,20448.0,7087.0,0.006395336108565584,0.006372175701932872,27535.0,-2.3160406632712245e-05,0.9963785479577468,41.912133,-87.634656,5216,41.912198,-87.6346694,1.0,22.0,4.0,1.0,27.0,24.0,23.0,2.0,29.0,133.0
