"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1997-05-01,,60,36,,,
1997-05-02,,53,45,,,
1997-05-03,,57,42,,,
1997-05-04,,64,40,,,
1997-05-05,,75,50,,,
1997-05-06,,67,44,,,
1997-05-07,,64,47,,,
1997-05-08,,71,52,,,
1997-05-09,,57,44,,,
1997-05-10,,61,40,,,
1997-05-11,,72,51,,,
1997-05-12,,62,43,,,
1997-05-13,,51,39,,,
1997-05-14,,58,45,,,
1997-05-15,,51,40,,,
1997-05-16,,67,37,,,
1997-05-17,,62,42,,,
1997-05-18,,79,44,,,
1997-05-19,,65,46,,,
1997-05-20,,62,43,,,
1997-05-21,,57,40,,,
1997-05-22,,65,39,,,
1997-05-23,,76,43,,,
1997-05-24,,84,55,,,
1997-05-25,,59,50,,,
1997-05-26,,57,48,,,
1997-05-27,,66,48,,,
1997-05-28,,63,53,,,
1997-05-29,,64,57,,,
1997-05-30,,69,56,,,
1997-05-31,,67,54,,,
1997-06-01,,68,52,,,
1997-06-02,,63,53,,,
1997-06-03,,70,55,,,
1997-06-04,,72,49,,,
1997-06-05,,75,53,,,
1997-06-06,,67,58,,,
1997-06-07,,63,56,,,
1997-06-08,,71,54,,,
1997-06-09,,75,52,,,
1997-06-10,,80,54,,,
1997-06-11,,,,,,
1997-06-12,,76,63,,,
1997-06-13,,83,60,,,
1997-06-14,,69,52,,,
1997-06-15,,83,49,,,
1997-06-16,,80,56,,,
1997-06-17,,70,54,,,
1997-06-18,,80,57,,,
1997-06-19,,87,58,,,
1997-06-20,,90,76,,,
1997-06-21,,84,70,,,
1997-06-22,,89,67,,,
1997-06-23,,94,74,,,
1997-06-24,,96,76,,,
1997-06-25,,87,71,,,
1997-06-26,,84,67,,,
1997-06-27,,87,64,,,
1997-06-28,,89,67,,,
1997-06-29,,90,70,,,
1997-06-30,,85,70,,,
1997-07-01,,91,68,,,
1997-07-02,,94,70,,,
1997-07-03,,76,63,,,
1997-07-04,,66,56,,,
1997-07-05,,79,55,,,
1997-07-06,,83,63,,,
1997-07-07,,76,60,,,
1997-07-08,,85,59,,,
1997-07-09,,70,57,,,
1997-07-10,,79,54,,,
1997-07-11,,84,61,,,
1997-07-12,,88,66,,,
1997-07-13,,96,75,,,
1997-07-14,,93,74,,,
1997-07-15,,91,68,,,
1997-07-16,,96,72,,,
1997-07-17,,94,77,,,
1997-07-18,,90,70,,,
1997-07-19,,82,68,,,
1997-07-20,,89,70,,,
1997-07-21,,80,67,,,
1997-07-22,,75,68,,,
1997-07-23,,73,66,,,
1997-07-24,,83,64,,,
1997-07-25,,87,70,,,
1997-07-26,,99,74,,,
1997-07-27,,97,76,,,
1997-07-28,,83,69,,,
1997-07-29,,74,64,,,
1997-07-30,,78,61,,,
1997-07-31,,83,60,,,
1997-08-01,,87,66,,,
1997-08-02,,93,73,,,
1997-08-03,,91,70,,,
1997-08-04,,80,65,,,
1997-08-05,,73,59,,,
1997-08-06,,77,57,,,
1997-08-07,,81,60,,,
1997-08-08,,83,63,,,
1997-08-09,,78,68,,,
1997-08-10,,83,69,,,
