end_station_name,end_trip_count,end_lat,end_lng,matched_address
Kingsbury St & Kinzie St,10495,41.8891873,-87.638528,"Kingsbury St & Kinzie St, Kinzie Street Bikeway, River North, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60654, United States"
Clinton St & Washington Blvd,7856,41.8834683,-87.6411569,"Clinton St & Washington Blvd, Clinton Street Bikeway, West Loop Gate, West Loop, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60675, United States"
Clinton St & Madison St,7603,41.8827604,-87.6412057,"Clinton St / Madison St, Clinton Street Bikeway, West Loop Gate, West Loop, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60675, United States"
Streeter Dr & Grand Ave,7584,41.8922419,-87.6119493,"Streeter Dr & Grand Ave, Lakefront Trail Connector, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60611, United States"
Canal St & Madison St,7507,41.8816545,-87.6395712,"Canal St & Madison St, South Canal Street, West Loop Gate, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60675, United States"
University Ave & 57th St,6980,41.7914785,-87.5998378,"University Ave & 57th St, East 57th Street, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States"
Clark St & Elm St,6941,41.9029296,-87.6313227,"Clark St & Elm St, North Clark Street, Gold Coast, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60610, United States"
Ellis Ave & 60th St,6237,41.7851231,-87.6010967,"Ellis Ave & 60th St, 5801, South Ellis Avenue, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States"
Clinton St & Jackson Blvd,5916,41.8784565,-87.6409984,"Clinton St & Jackson Blvd, Clinton Street Bikeway, West Loop Gate, West Loop, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60675, United States"
Wells St & Elm St,5756,41.9032468,-87.6343279,"Wells St & Elm St, North Wells Street, River North, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60610, United States"
Canal St & Adams St,5709,41.8792478,-87.6400073,"Canal St & Adams St, West Adams Street, West Loop Gate, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60675, United States"
State St & Chicago Ave,5452,41.8965841,-87.6286602,"State St & Chicago Ave, West Chicago Avenue, Magnificent Mile, Gold Coast, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60654, United States"
Larrabee St & Kingsbury St,5328,41.897744,-87.642884,"Larrabee St & Kingsbury St, North Larrabee Street, River North, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60610, United States"
Wells St & Concord Ln,5216,41.912198,-87.6346694,"Wells St & Concord Ln, North Wells Street, Old Town Triangle, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60610, United States"
DuSable Lake Shore Dr & Monroe St,5063,41.880939,-87.617233,
Dearborn Pkwy & Delaware Pl,5056,41.8989441,-87.6299106,"Dearborn Pkwy & Delaware Pl, North Dearborn Street, Magnificent Mile, Gold Coast, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60610, United States"
Wells St & Huron St,5026,41.8947285,-87.634423,"Wells St & Huron St, West Huron Street, River North, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60610, United States"
Daley Center Plaza,4892,41.8841812,-87.6296407,"Daley Center Plaza, Daley Plaza, Theatre District, Loop, Chicago, South Chicago Township, Cook County, Illinois, 60602, United States"
Michigan Ave & Washington St,4840,41.883885,-87.6246938,"Michigan Ave & Washington St, Pedway, Jewelers Row, Loop, Chicago, South Chicago Township, Cook County, Illinois, 60603, United States"
Wells St & Hubbard St,4800,41.8898997,-87.6342914,"Wells St & Hubbard St, West Hubbard Street, River North, Near North Side, Chicago, North Chicago Township, Cook County, Illinois, 60654, United States"
