end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,end_lat,end_lng,total_return_count,weekend_minus_weekday_share,weekday_minus_weekend_share,weekend_weekday_share_ratio,orientation
2112 W Peterson Ave,561.0,234.0,0.0001808332836391,0.0001938363358636,41.99117799999999,-87.683593,795.0,1.300305222459765e-05,-1.300305222459765e-05,1.0719059017069377,weekend_oriented
21st St & Pulaski Rd,60.0,16.0,1.934045814321932e-05,1.3253766554782788e-05,41.85357638068863,-87.72469529380317,76.0,-6.086691588436529e-06,6.086691588436529e-06,0.6853033756107791,weekday_oriented
63rd St Beach,585.0,639.0,0.0001885694668963,0.0005293223017816,41.78091096424803,-87.57632374763489,1224.0,0.0003407528348852,-0.0003407528348852,2.807031824726185,weekend_oriented
900 W Harrison St,6693.0,1270.0,0.0021574281058761,0.0010520177202858,41.874754,-87.649807,7963.0,-0.0011054103855902,0.0011054103855902,0.4876260904335336,weekday_oriented
Aberdeen St & Carroll Ave,3994.0,1109.0,0.0012874298304002,0.0009186516943283,41.88819,-87.65459,5103.0,-0.0003687781360719,0.0003687781360719,0.713554990789483,weekday_oriented
Aberdeen St & Jackson Blvd,9771.0,3168.0,0.0031495936086232,0.0026242457778469,41.87772613,-87.65478743,12939.0,-0.0005253478307762,0.0005253478307762,0.8332014446119748,weekday_oriented
Aberdeen St & Monroe St,5865.0,1661.0,0.0018905297834996,0.0013759066404683,41.880381631942605,-87.65540930667021,7526.0,-0.0005146231430313,0.0005146231430313,0.7277890698618265,weekday_oriented
Aberdeen St & Randolph St,8447.0,2549.0,0.0027228141655962,0.0021114906842588,41.88411416441933,-87.65426402007539,10996.0,-0.0006113234813373,0.0006113234813373,0.7754810943241058,weekday_oriented
Ada St & Washington Blvd,5184.0,1360.0,0.0016710155835741,0.0011265701571565,41.88283,-87.661206,6544.0,-0.0005444454264176,0.0005444454264176,0.6741831099885951,weekday_oriented
Addison Red Line,390.0,207.0,0.0001257129779309,0.0001714706048025,41.9472,-87.654,597.0,4.575762687157676e-05,-4.575762687157676e-05,1.3639820139707823,weekend_oriented
Addison/Racine,176.0,109.0,5.673201055344333e-05,9.029128465445774e-05,41.94729999999999,-87.6592,285.0,3.3559274101014416e-05,-3.3559274101014416e-05,1.5915299359867583,weekend_oriented
Addison/Racine Corral,697.0,315.0,0.0002246716554303,0.0002609335290472,41.9470683,-87.6593535,1012.0,3.626187361688838e-05,-3.626187361688838e-05,1.161398696015867,weekend_oriented
Addison/Sheffield SE Corral,250.0,126.0,8.058524226341381e-05,0.0001043734116189,41.9470281,-87.654252,376.0,2.3788169355500635e-05,-2.3788169355500635e-05,1.2951889638648717,weekend_oriented
Addison/Sheffield SW Corral,343.0,180.0,0.0001105629523854,0.0001491048737413,41.9469539,-87.65441230000002,523.0,3.8541921355902606e-05,-3.8541921355902606e-05,1.3485939180389752,weekend_oriented
Addison/Wilton Corral,385.0,191.0,0.0001241012730856,0.0001582168382477,41.9473827,-87.6531716,576.0,3.411556516206226e-05,-3.411556516206226e-05,1.2748987936628298,weekend_oriented
Adler Planetarium,7762.0,4876.0,0.0025020106017944,0.00403908535757,41.866095,-87.607267,12638.0,0.0015370747557755,-0.0015370747557755,1.6143355828858568,weekend_oriented
Albany Ave & 16th St,59.0,72.0,1.901811717416566e-05,5.964194949652255e-05,41.85936,-87.70302,131.0,4.062383232235688e-05,-4.062383232235688e-05,3.135947318182448,weekend_oriented
Albany Ave & 26th St,153.0,56.0,4.931816826520926e-05,4.638818294173976e-05,41.844507,-87.701655,209.0,-2.929985323469502e-06,2.929985323469502e-06,0.9405913476132894,weekday_oriented
Albany Ave & Belmont Ave,451.0,210.0,0.0001453757770431,0.0001739556860315,41.939638,-87.705263,661.0,2.8579908988325567e-05,-2.8579908988325567e-05,1.1965919837377677,weekend_oriented
Albany Ave & Bloomingdale Ave,2891.0,1108.0,0.0009318877415341,0.0009178233339187,41.91402671273,-87.70512646200001,3999.0,-1.4064407615409356e-05,1.4064407615409356e-05,0.9849076322220012,weekday_oriented
Albany Ave & Douglas Blvd,104.0,71.0,3.3523460781580146e-05,5.881358908684862e-05,41.86310853149135,-87.70312034955664,175.0,2.5290128305268472e-05,-2.5290128305268472e-05,1.7543783767333256,weekend_oriented
Albany Ave & Montrose Ave,1549.0,585.0,0.0004993061610641,0.0004845908396592,41.96104100000001,-87.705866,2134.0,-1.4715321404866425e-05,1.4715321404866425e-05,0.97052851921149,weekday_oriented
Archer & Wentworth,540.0,366.0,0.0001740641232889,0.0003031799099406,41.8546868,-87.6308531,906.0,0.0001291157866516,-0.0001291157866516,1.741767128371438,weekend_oriented
