removed_station,removed_lat,removed_lng,removed_total_returns,removed_weekday_returns,removed_weekend_returns,removed_weekend_share,original_l1,l1_after_removal,delta_l1,original_tourism_diff,tourism_diff_after_removal,delta_tourism_diff,original_food_drink_diff,food_drink_diff_after_removal,delta_food_drink_diff,original_office_diff,office_diff_after_removal,delta_office_diff,original_transit_diff,transit_diff_after_removal,delta_transit_diff
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,12939.0,9771.0,3168.0,0.24484117783445397,0.12306125346782058,0.1244207673488214,0.0013595138810008206,0.035547182136449876,0.03584585145665595,0.0002986693202060714,-0.04355681332056366,-0.04408599113819378,-0.0005291778176301221,-0.013523902927543213,-0.013679088425483571,-0.00015518549794035774,0.024842316309216572,0.025089479596296926,0.0002471632870803542
Adler Planetarium,41.866095,-87.607267,12638.0,7762.0,4876.0,0.38582054122487736,0.12306125346782058,0.12010369973184934,-0.002957553735971244,0.035547182136449876,0.034574274066131463,-0.0009729080703184123,-0.04355681332056366,-0.04227186918917347,0.0012849441313901866,-0.013523902927543213,-0.013447977895046141,7.5925032497072e-05,0.024842316309216572,0.023352607251951707,-0.0014897090572648652
Buckingham Fountain,41.87130745884732,-87.62309887518705,9890.0,6292.0,3598.0,0.36380182002022243,0.12306125346782058,0.12318456265228006,0.00012330918445947747,0.035547182136449876,0.035898305159022356,0.0003511230225724804,-0.04355681332056366,-0.043719183608591394,-0.00016237028802773557,-0.013523902927543213,-0.01349269977994634,3.1203147596872705e-05,0.024842316309216572,0.02418876511506357,-0.0006535511941530014
Canal St & Adams St,41.879255,-87.639904,21471.0,19724.0,1747.0,0.08136556285221927,0.12306125346782058,0.12419477484516003,0.0011335213773394498,0.035547182136449876,0.03474076118527186,-0.0008064209511780135,-0.04355681332056366,-0.04399803770090982,-0.0004412243803461613,-0.013523902927543213,-0.013668699128676673,-0.0001447962011334597,0.024842316309216572,0.027356626237308168,0.002514309928091596
Canal St & Jackson Blvd,41.87812864569744,-87.63996997065593,11826.0,10978.0,848.0,0.07170640960595298,0.12306125346782058,0.12363961237200569,0.0005783589041851028,0.035547182136449876,0.035069120270456056,-0.00047806186599382017,-0.04355681332056366,-0.04405766569384817,-0.0005008523732845105,-0.013523902927543213,-0.01328375297244408,0.00024014995509913373,0.024842316309216572,0.026393868792215447,0.0015515524829988747
Canal St & Madison St,41.882409,-87.639767,29301.0,26693.0,2608.0,0.08900720111941572,0.12306125346782058,0.11787697177047275,-0.005184281697347831,0.035547182136449876,0.03464784134073329,-0.0008993407957165883,-0.04355681332056366,-0.04111837239679361,0.0024384409237700466,-0.013523902927543213,-0.013021943030552048,0.0005019598969911651,0.024842316309216572,0.02429064454450308,-0.0005516717647134906
Clark St & Elm St,41.90301732164141,-87.63152289470456,29365.0,20810.0,8555.0,0.29133321981951305,0.12306125346782058,0.12573739739786677,0.0026761439300461848,0.035547182136449876,0.036594089367131655,0.001046907230681779,-0.04355681332056366,-0.04463128341206951,-0.0010744700915058525,-0.013523902927543213,-0.013740213126693601,-0.00021631019915038796,0.024842316309216572,0.02500773205523782,0.00016541574602124687
Clark St & Lake St,41.88602073203813,-87.63087535800302,17940.0,14389.0,3551.0,0.19793756967670012,0.12306125346782058,0.1229753752518494,-8.587821597118295e-05,0.035547182136449876,0.035593339411786634,4.6157275336758397e-05,-0.04355681332056366,-0.04368297820374151,-0.00012616488317784835,-0.013523902927543213,-0.013175797849570691,0.00034810507797252213,0.024842316309216572,0.02511381136343943,0.0002714950542228589
Clark St & North Ave,41.911974,-87.631942,10500.0,6653.0,3847.0,0.36638095238095236,0.12306125346782058,0.12292249682210074,-0.00013875664571984248,0.035547182136449876,0.03621161093191891,0.0006644287954690326,-0.04355681332056366,-0.043423704550054065,0.00013310877050959347,-0.013523902927543213,-0.01348724162602468,3.6661301518532696e-05,0.024842316309216572,0.023954389373919693,-0.0008879269352968788
Clark St & Schiller St,41.907993,-87.631501,14573.0,9835.0,4738.0,0.32512180059013246,0.12306125346782058,0.12334591691866922,0.00028466345084864064,0.035547182136449876,0.03624600712456154,0.0006988249881116626,-0.04355681332056366,-0.04371904637020352,-0.0001622330496398594,-0.013523902927543213,-0.01354930793098906,-2.5405003445846952e-05,0.024842316309216572,0.023882114037402258,-0.0009602022718143144
