end_station_name,end_lat,end_lng,return_count_weekday,return_count_weekend,total_return_count,weekday_station_share,weekend_station_share,total_return_share,weekend_minus_weekday_share_normalized,weekday_minus_weekend_share_normalized,share_difference_orientation
DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,20698.0,17218.0,37916.0,0.006685910166278825,0.014294538221161031,0.008817100281842113,0.0076086280548822065,-0.0076086280548822065,weekend_oriented
Navy Pier,41.892278,-87.612043,19160.0,15617.0,34777.0,0.006189102270069682,0.01296537364385363,0.00808714781363074,0.006776271373783949,-0.006776271373783949,weekend_oriented
DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804,19730.0,14940.0,34670.0,0.0063732248323838635,0.012403322164255185,0.008062265712930321,0.006030097331871322,-0.006030097331871322,weekend_oriented
Theater on the Lake,41.926277,-87.630834,15407.0,12444.0,27851.0,0.004976800557148413,0.01033112054966476,0.006476555015022278,0.0053543199925163475,-0.0053543199925163475,weekend_oriented
Michigan Ave & Oak St,41.90096039009614,-87.62377663865593,21157.0,13471.0,34628.0,0.006834177282247614,0.01118374517233478,0.008052498907047912,0.004349567890087167,-0.004349567890087167,weekend_oriented
Streeter Dr & Grand Ave,41.892278002970286,-87.61204300164603,17854.0,12071.0,29925.0,0.005767235486942803,0.010021452600048485,0.006958849191215455,0.004254217113105682,-0.004254217113105682,weekend_oriented
Dusable Harbor,41.88697599432289,-87.61281299950515,11732.0,8761.0,20493.0,0.0037896945632806636,0.0072734608755715986,0.004765503641623336,0.003483766312290935,-0.003483766312290935,weekend_oriented
Shedd Aquarium,41.86722596201104,-87.61535540410257,11191.0,8315.0,19506.0,0.0036149396401017647,0.006903187670400393,0.004535983703386756,0.0032882480302986283,-0.0032882480302986283,weekend_oriented
Montrose Harbor,41.963982,-87.638181,10026.0,7717.0,17743.0,0.0032386189644947098,0.006406722700238104,0.004126010399322835,0.003168103735743394,-0.003168103735743394,weekend_oriented
Millennium Park,41.8810317,-87.62408432,17129.0,10356.0,27485.0,0.00553304450856073,0.008597644198997771,0.006391444278047011,0.003064599690437041,-0.003064599690437041,weekend_oriented
Clark St & Lincoln Ave,41.915689,-87.6346,14534.0,8838.0,23372.0,0.004694802316972483,0.007337386967047345,0.005434994930562661,0.0026425846500748628,-0.0026425846500748628,weekend_oriented
Clark St & Armitage Ave,41.918305755768,-87.63628183370878,15407.0,8627.0,24034.0,0.004976800557148413,0.007162212872224196,0.005588938394709182,0.0021854123150757826,-0.0021854123150757826,weekend_oriented
Lakefront Trail & Bryn Mawr Ave,41.98404411519213,-87.65228122472763,6778.0,5157.0,11935.0,0.0021894433813430224,0.004281387710914591,0.0027754006715841758,0.002091944329571569,-0.002091944329571569,weekend_oriented
Field Museum,41.8653120005395,-87.61786701481803,5521.0,4607.0,10128.0,0.0017834046781343797,0.003824772771802118,0.0023551954756434465,0.0020413680936677385,-0.0020413680936677385,weekend_oriented
Michigan Ave & 8th St,41.87277296771354,-87.62398098838872,9895.0,6152.0,16047.0,0.0031963030773663626,0.005107445646218066,0.0037316174760713256,0.0019111425688517038,-0.0019111425688517038,weekend_oriented
DuSable Lake Shore Dr & Diversey Pkwy,41.932588,-87.636427,12317.0,7044.0,19361.0,0.00397866245618206,0.005847992056560477,0.00450226496879273,0.0018693296003784174,-0.0018693296003784174,weekend_oriented
DuSable Lake Shore Dr & Wellington Ave,41.936688449499705,-87.63682901859283,9542.0,5887.0,15429.0,0.003082276297547229,0.004887440266463874,0.0035879059038016127,0.001805163968916645,-0.001805163968916645,weekend_oriented
Wells St & Concord Ln,41.912133,-87.634656,18316.0,9219.0,27535.0,0.005916471669029035,0.007653696588505258,0.00640307142790702,0.0017372249194762233,-0.0017372249194762233,weekend_oriented
