removed_station,removed_lat,removed_lng,removed_total_returns,removed_weekday_returns,removed_weekend_returns,removed_weekend_share,original_l1,l1_after_removal,delta_l1,original_tourism_diff,tourism_diff_after_removal,delta_tourism_diff,original_food_drink_diff,food_drink_diff_after_removal,delta_food_drink_diff,original_office_diff,office_diff_after_removal,delta_office_diff,original_transit_diff,transit_diff_after_removal,delta_transit_diff,abs_delta_l1,abs_delta_tourism_diff
Dusable Harbor,41.88697599432289,-87.61281299950515,20493.0,11732.0,8761.0,0.4275118333089348,0.12306125346782058,0.1158959418278192,-0.007165311640001379,0.035547182136449876,0.02946360827582964,-0.006083573860620237,-0.04355681332056366,-0.04049451952295896,0.0030622937976046982,-0.013523902927543213,-0.013286861064237952,0.00023704186330526095,0.024842316309216572,0.02742629282046377,0.002583976511247199,0.007165311640001379,0.006083573860620237
DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804,34670.0,19730.0,14940.0,0.4309201038361696,0.12306125346782058,0.11027512525483915,-0.012786128212981432,0.035547182136449876,0.029929115744180113,-0.005618066392269763,-0.04355681332056366,-0.0380999419299744,0.005456871390589257,-0.013523902927543213,-0.013092928989017615,0.0004309739385255987,0.024842316309216572,0.02023104089900607,-0.0046112754102105025,0.012786128212981432,0.005618066392269763
Shedd Aquarium,41.86722596201104,-87.61535540410257,19506.0,11191.0,8315.0,0.4262790936122219,0.12306125346782058,0.11965437479066215,-0.0034068786771584286,0.035547182136449876,0.030016556364302338,-0.005530625772147538,-0.04355681332056366,-0.04234199324023519,0.0012148200803284714,-0.013523902927543213,-0.013301942299456554,0.00022196062808665928,0.024842316309216572,0.026624895260280557,0.0017825789510639845,0.0034068786771584286,0.005530625772147538
DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,37916.0,20698.0,17218.0,0.45410908323662835,0.12306125346782058,0.10653582398592906,-0.01652542948189152,0.035547182136449876,0.03248329421609024,-0.003063887920359637,-0.04355681332056366,-0.03653902012668975,0.007017793193873911,-0.013523902927543213,-0.012930342931306363,0.0005935599962368504,0.024842316309216572,0.014833666690059588,-0.010008649619156984,0.01652542948189152,0.003063887920359637
Field Museum,41.8653120005395,-87.61786701481803,10128.0,5521.0,4607.0,0.4548775671406003,0.12306125346782058,0.11885823114680172,-0.004203022321018865,0.035547182136449876,0.0326233896183466,-0.002923792518103277,-0.04355681332056366,-0.04177063682222626,0.0017861764983373996,-0.013523902927543213,-0.013374292968800792,0.00014960995874242072,0.024842316309216572,0.024435786199262455,-0.0004065301099541174,0.004203022321018865,0.002923792518103277
Michigan Ave & Oak St,41.90096039009614,-87.62377663865593,34628.0,21157.0,13471.0,0.38902044588194523,0.12306125346782058,0.13459755760118913,0.01153630413336855,0.035547182136449876,0.037752433558099305,0.002205251421649429,-0.04355681332056366,-0.04284658658614654,0.0007102267344171187,-0.013523902927543213,-0.013831628261658235,-0.0003077253341150221,0.024842316309216572,0.029546345242495275,0.004704028933278703,0.01153630413336855,0.002205251421649429
Morgan St & Polk St,41.871737,-87.65103,10830.0,9246.0,1584.0,0.14626038781163436,0.12306125346782058,0.12397603463515108,0.0009147811673305001,0.035547182136449876,0.03702478247698776,0.0014776003405378851,-0.04355681332056366,-0.043584970971010994,-2.8157650447335758e-05,-0.013523902927543213,-0.013788979198649208,-0.0002650762711059948,0.024842316309216572,0.024197854478671177,-0.0006444618305453953,0.0009147811673305001,0.0014776003405378851
Wells St & Concord Ln,41.912133,-87.634656,27535.0,18316.0,9219.0,0.3348102415108044,0.12306125346782058,0.12681437554551883,0.0037531220776982482,0.035547182136449876,0.03698991030775804,0.0014427281713081663,-0.04355681332056366,-0.04520948739006264,-0.0016526740694989828,-0.013523902927543213,-0.013699626808780396,-0.00017572388123718308,0.024842316309216572,0.02564087717429875,0.0007985608650821763,0.0037531220776982482,0.0014427281713081663
Navy Pier,41.892278,-87.612043,34777.0,19160.0,15617.0,0.4490611611122293,0.12306125346782058,0.11763719961830374,-0.005424053849516844,0.035547182136449876,0.03437938204371292,-0.0011678000927369536,-0.04355681332056366,-0.04193653278670284,0.0016202805338608184,-0.013523902927543213,-0.013007012652756701,0.000516890274786512,0.024842316309216572,0.021316465702685305,-0.0035258506065312667,0.005424053849516844,0.0011678000927369536
Wells St & Elm St,41.903222,-87.634324,26237.0,18124.0,8113.0,0.3092198040934558,0.12306125346782058,0.12516715367162506,0.002105900203804481,0.035547182136449876,0.036660625506648614,0.0011134433701987384,-0.04355681332056366,-0.0444581737618262,-0.0009013604412625442,-0.013523902927543213,-0.013715574011008182,-0.00019167108346496847,0.024842316309216572,0.024931127737417402,8.88114282008301e-05,0.002105900203804481,0.0011134433701987384
Clark St & Elm St,41.90301732164141,-87.63152289470456,29365.0,20810.0,8555.0,0.29133321981951305,0.12306125346782058,0.12573739739786677,0.0026761439300461848,0.035547182136449876,0.036594089367131655,0.001046907230681779,-0.04355681332056366,-0.04463128341206951,-0.0010744700915058525,-0.013523902927543213,-0.013740213126693601,-0.00021631019915038796,0.024842316309216572,0.02500773205523782,0.00016541574602124687,0.0026761439300461848,0.001046907230681779
Adler Planetarium,41.866095,-87.607267,12638.0,7762.0,4876.0,0.38582054122487736,0.12306125346782058,0.12010369973184934,-0.002957553735971244,0.035547182136449876,0.034574274066131463,-0.0009729080703184123,-0.04355681332056366,-0.04227186918917347,0.0012849441313901866,-0.013523902927543213,-0.013447977895046141,7.5925032497072e-05,0.024842316309216572,0.023352607251951707,-0.0014897090572648652,0.002957553735971244,0.0009729080703184123
Canal St & Madison St,41.882409,-87.639767,29301.0,26693.0,2608.0,0.08900720111941572,0.12306125346782058,0.11787697177047275,-0.005184281697347831,0.035547182136449876,0.03464784134073329,-0.0008993407957165883,-0.04355681332056366,-0.04111837239679361,0.0024384409237700466,-0.013523902927543213,-0.013021943030552048,0.0005019598969911651,0.024842316309216572,0.02429064454450308,-0.0005516717647134906,0.005184281697347831,0.0008993407957165883
Kingsbury St & Kinzie St,41.889172621529056,-87.63849963502554,40013.0,31094.0,8919.0,0.22290255666908254,0.12306125346782058,0.12432689757265325,0.0012656441048326666,0.035547182136449876,0.03644021849991956,0.0008930363634696847,-0.04355681332056366,-0.043801598219794624,-0.00024478489923096536,-0.013523902927543213,-0.013869541210723885,-0.00034563828318067216,0.024842316309216572,0.02433263734342711,-0.0005096789657894618,0.0012656441048326666,0.0008930363634696847
Millennium Park,41.8810317,-87.62408432,27485.0,17129.0,10356.0,0.37678733854829904,0.12306125346782058,0.1276154394837509,0.004554186015930314,0.035547182136449876,0.036385240151368695,0.0008380580149188188,-0.04355681332056366,-0.04526646172363924,-0.001709648403075581,-0.013523902927543213,-0.0139089454628094,-0.00038504253526618765,0.024842316309216572,0.027296961303104106,0.0024546449938875337,0.004554186015930314,0.0008380580149188188
