condition_type,day_type,condition_value,profile_group,service_category,profile_value,stations_used
rain,weekday,dry,dry_weekday,education,0.005292411117009423,75
rain,weekday,dry,dry_weekday,food_drink,0.32958146486649503,75
rain,weekday,dry,dry_weekday,health,0.016733797365660046,75
rain,weekday,dry,dry_weekday,office,0.04477007490723382,75
rain,weekday,dry,dry_weekday,recreation,0.00927998955620184,75
rain,weekday,dry,dry_weekday,retail,0.17286594706616165,75
rain,weekday,dry,dry_weekday,tourism,0.0778304617799617,75
rain,weekday,dry,dry_weekday,transit,0.34364585334127645,75
rain,weekday,rainy,rainy_weekday,education,0.005350027359174856,75
rain,weekday,rainy,rainy_weekday,food_drink,0.33284350282242675,75
rain,weekday,rainy,rainy_weekday,health,0.016833376662517864,75
rain,weekday,rainy,rainy_weekday,office,0.045422875192677875,75
rain,weekday,rainy,rainy_weekday,recreation,0.00937356104843334,75
rain,weekday,rainy,rainy_weekday,retail,0.17313855774595094,75
rain,weekday,rainy,rainy_weekday,tourism,0.07535503114202842,75
rain,weekday,rainy,rainy_weekday,transit,0.34168306802679,75
rain,weekend,dry,dry_weekend,education,0.00453871434184853,75
rain,weekend,dry,dry_weekend,food_drink,0.2860201631816979,75
rain,weekend,dry,dry_weekend,health,0.01417990518416869,75
rain,weekend,dry,dry_weekend,office,0.031213815552800693,75
rain,weekend,dry,dry_weekend,recreation,0.00815846065225893,75
rain,weekend,dry,dry_weekend,retail,0.174316815249415,75
rain,weekend,dry,dry_weekend,tourism,0.112582177363719,75
rain,weekend,dry,dry_weekend,transit,0.3689899484740912,75
rain,weekend,rainy,rainy_weekend,education,0.004582857931389862,75
rain,weekend,rainy,rainy_weekend,food_drink,0.2888248233876347,75
rain,weekend,rainy,rainy_weekend,health,0.01427568130682036,75
rain,weekend,rainy,rainy_weekend,office,0.031883271055900636,75
rain,weekend,rainy,rainy_weekend,recreation,0.008161454232599247,75
rain,weekend,rainy,rainy_weekend,retail,0.17348470694822254,75
rain,weekend,rainy,rainy_weekend,tourism,0.11320118151398417,75
rain,weekend,rainy,rainy_weekend,transit,0.3655860236234485,75
