condition_type,day_type,condition_value,profile_group,service_category,profile_value,stations_used
rain,weekday,dry,dry_weekday,education,0.005292411117009423,75
rain,weekday,dry,dry_weekday,food_drink,0.32958146486649503,75
rain,weekday,dry,dry_weekday,health,0.016733797365660046,75
rain,weekday,dry,dry_weekday,office,0.04477007490723382,75
rain,weekday,dry,dry_weekday,recreation,0.00927998955620184,75
rain,weekday,dry,dry_weekday,retail,0.17286594706616165,75
rain,weekday,dry,dry_weekday,tourism,0.0778304617799617,75
rain,weekday,dry,dry_weekday,transit,0.34364585334127645,75
rain,weekday,rainy,rainy_weekday,education,0.005350027359174856,75
rain,weekday,rainy,rainy_weekday,food_drink,0.33284350282242675,75
rain,weekday,rainy,rainy_weekday,health,0.016833376662517864,75
rain,weekday,rainy,rainy_weekday,office,0.045422875192677875,75
rain,weekday,rainy,rainy_weekday,recreation,0.00937356104843334,75
rain,weekday,rainy,rainy_weekday,retail,0.17313855774595094,75
rain,weekday,rainy,rainy_weekday,tourism,0.07535503114202842,75
rain,weekday,rainy,rainy_weekday,transit,0.34168306802679,75
rain,weekend,dry,dry_weekend,education,0.00453871434184853,75
rain,weekend,dry,dry_weekend,food_drink,0.2860201631816979,75
rain,weekend,dry,dry_weekend,health,0.01417990518416869,75
rain,weekend,dry,dry_weekend,office,0.031213815552800693,75
rain,weekend,dry,dry_weekend,recreation,0.00815846065225893,75
rain,weekend,dry,dry_weekend,retail,0.174316815249415,75
rain,weekend,dry,dry_weekend,tourism,0.112582177363719,75
rain,weekend,dry,dry_weekend,transit,0.3689899484740912,75
rain,weekend,rainy,rainy_weekend,education,0.004582857931389862,75
rain,weekend,rainy,rainy_weekend,food_drink,0.2888248233876347,75
rain,weekend,rainy,rainy_weekend,health,0.01427568130682036,75
rain,weekend,rainy,rainy_weekend,office,0.031883271055900636,75
rain,weekend,rainy,rainy_weekend,recreation,0.008161454232599247,75
rain,weekend,rainy,rainy_weekend,retail,0.17348470694822254,75
rain,weekend,rainy,rainy_weekend,tourism,0.11320118151398417,75
rain,weekend,rainy,rainy_weekend,transit,0.3655860236234485,75
cold,weekday,cold,cold_weekday,education,0.005947099041172877,75
cold,weekday,cold,cold_weekday,food_drink,0.36108787203380516,75
cold,weekday,cold,cold_weekday,health,0.018266836777837303,75
cold,weekday,cold,cold_weekday,office,0.05204804665053509,75
cold,weekday,cold,cold_weekday,recreation,0.010344383292203356,75
cold,weekday,cold,cold_weekday,retail,0.173392990871718,75
cold,weekday,cold,cold_weekday,tourism,0.05300929458221175,75
cold,weekday,cold,cold_weekday,transit,0.32590347675051645,75
cold,weekday,mild,mild_weekday,education,0.0052394197111774714,75
cold,weekday,mild,mild_weekday,food_drink,0.3271657334374876,75
cold,weekday,mild,mild_weekday,health,0.01660000140419219,75
cold,weekday,mild,mild_weekday,office,0.044184364146810845,75
cold,weekday,mild,mild_weekday,recreation,0.00919380815674924,75
cold,weekday,mild,mild_weekday,retail,0.17288544789677252,75
cold,weekday,mild,mild_weekday,tourism,0.07975955814944956,75
cold,weekday,mild,mild_weekday,transit,0.3449716670973605,75
cold,weekend,cold,cold_weekend,education,0.006212798137718682,75
cold,weekend,cold,cold_weekend,food_drink,0.3370720103131401,75
cold,weekend,cold,cold_weekend,health,0.018012337219277447,75
cold,weekend,cold,cold_weekend,office,0.03836975062983586,75
cold,weekend,cold,cold_weekend,recreation,0.010301796614848547,75
cold,weekend,cold,cold_weekend,retail,0.18404593141367886,75
cold,weekend,cold,cold_weekend,tourism,0.06886821789482474,75
cold,weekend,cold,cold_weekend,transit,0.3371171577766758,75
cold,weekend,mild,mild_weekend,education,0.004444972386348054,75
cold,weekend,mild,mild_weekend,food_drink,0.28361277045892785,75
cold,weekend,mild,mild_weekend,health,0.013963670434636269,75
cold,weekend,mild,mild_weekend,office,0.030961876349977158,75
cold,weekend,mild,mild_weekend,recreation,0.008021880406648555,75
cold,weekend,mild,mild_weekend,retail,0.17343515695363687,75
cold,weekend,mild,mild_weekend,tourism,0.1155782048870582,75
cold,weekend,mild,mild_weekend,transit,0.36998146812276705,75
