end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,end_lat,end_lng,total_return_count,weekend_minus_weekday_share,weekday_minus_weekend_share,weekend_weekday_share_ratio,orientation
Kingsbury St & Kinzie St,31094.0,8919.0,0.0100228700917543,0.0073881464938817,41.889172621529056,-87.63849963502554,40013.0,-0.0026347235978726,0.0026347235978726,0.7371288552199211,weekday_oriented
Clinton St & Washington Blvd,29100.0,1489.0,0.0093801221994613,0.0012334286500044,41.883378993326986,-87.64117008864396,30589.0,-0.0081466935494568,0.0081466935494568,0.1314939712172756,weekday_oriented
Canal St & Madison St,26693.0,2608.0,0.0086042474869492,0.0021603639484295,41.882409,-87.639767,29301.0,-0.0064438835385196,0.0064438835385196,0.2510811899152377,weekday_oriented
Clinton St & Madison St,25104.0,4057.0,0.0080920476871229,0.0033606581820471,41.88275006331282,-87.64119022354309,29161.0,-0.0047313895050758,0.0047313895050758,0.4153038756915778,weekday_oriented
Clinton St & Jackson Blvd,21413.0,2302.0,0.0069022871703459,0.0019068856630693,41.87831662050808,-87.64098109175531,23715.0,-0.0049954015072765,0.0049954015072765,0.276268770009034,weekday_oriented
Michigan Ave & Oak St,21157.0,13471.0,0.0068197678822681,0.0111588430787174,41.90096039009614,-87.62377663865593,34628.0,0.0043390751964492,-0.0043390751964492,1.6362495960429255,weekend_oriented
Clark St & Elm St,20810.0,8555.0,0.0067079155660065,0.0070866233047604,41.90301732164141,-87.63152289470456,29365.0,0.0003787077387538,-0.0003787077387538,1.056456834998965,weekend_oriented
DuSable Lake Shore Dr & Monroe St,20698.0,17218.0,0.0066718133774725,0.0142627095337656,41.880958,-87.616743,37916.0,0.007590896156293,-0.007590896156293,2.137755897694606,weekend_oriented
DuSable Lake Shore Dr & North Blvd,19730.0,14940.0,0.0063597873194286,0.0123757045205284,41.911722,-87.626804,34670.0,0.0060159172010998,-0.0060159172010998,1.9459304144953515,weekend_oriented
Canal St & Adams St,19724.0,1747.0,0.0063578532736142,0.0014471456357003,41.879255,-87.639904,21471.0,-0.0049107076379139,0.0049107076379139,0.227615571767057,weekday_oriented
State St & Chicago Ave,19184.0,6966.0,0.0061837891503253,0.0057703586137885,41.896617200407526,-87.62857854366302,26150.0,-0.0004134305365367,0.0004134305365367,0.933142857942064,weekday_oriented
Navy Pier,19160.0,15617.0,0.006176052967068,0.0129365045178776,41.892278,-87.612043,34777.0,0.0067604515508096,-0.0067604515508096,2.094623134263031,weekend_oriented
Franklin St & Monroe St,18703.0,774.0,0.0060287431442105,0.0006411509570876,41.88031616332084,-87.63518440237203,19477.0,-0.0053875921871228,0.0053875921871228,0.1063491735178916,weekday_oriented
Wells St & Concord Ln,18316.0,9219.0,0.0059039971891867,0.0076366546167839,41.912133,-87.634656,27535.0,0.0017326574275971,-0.0017326574275971,1.2934718765277642,weekend_oriented
Daley Center Plaza,18249.0,3266.0,0.0058824003442601,0.002705425097995,41.88424087537072,-87.62963348535213,21515.0,-0.0031769752462651,0.0031769752462651,0.4599186522073843,weekday_oriented
Wells St & Elm St,18124.0,8113.0,0.0058421077231284,0.0067204880036845,41.903222,-87.634324,26237.0,0.000878380280556,-0.000878380280556,1.1503532923101312,weekend_oriented
Streeter Dr & Grand Ave,17854.0,12071.0,0.0057550756614839,0.0099991385051739,41.892278002970286,-87.61204300164603,29925.0,0.0042440628436899,-0.0042440628436899,1.7374467958165536,weekend_oriented
Wells St & Huron St,17689.0,6052.0,0.0057018894015901,0.0050132371993465,41.89478399980203,-87.6343724037867,23741.0,-0.0006886522022435,0.0006886522022435,0.8792238794959173,weekday_oriented
Millennium Park,17129.0,10356.0,0.00552137845892,0.0085785004025831,41.8810317,-87.62408432,27485.0,0.003057121943663,-0.003057121943663,1.5536880713250318,weekend_oriented
Orleans St & Merchandise Mart Plaza,16865.0,3074.0,0.0054362804430898,0.0025463798993376,41.888243,-87.63638999999999,19939.0,-0.0028899005437522,0.0028899005437522,0.4684049061835033,weekday_oriented
