end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,end_lat,end_lng,total_return_count,weekend_minus_weekday_share,weekday_minus_weekend_share,weekend_weekday_share_ratio,orientation
DuSable Lake Shore Dr & Monroe St,20698.0,17218.0,0.0066718133774725,0.0142627095337656,41.880958,-87.616743,37916.0,0.007590896156293,-0.007590896156293,2.137755897694606,weekend_oriented
Navy Pier,19160.0,15617.0,0.006176052967068,0.0129365045178776,41.892278,-87.612043,34777.0,0.0067604515508096,-0.0067604515508096,2.094623134263031,weekend_oriented
DuSable Lake Shore Dr & North Blvd,19730.0,14940.0,0.0063597873194286,0.0123757045205284,41.911722,-87.626804,34670.0,0.0060159172010998,-0.0060159172010998,1.9459304144953515,weekend_oriented
Michigan Ave & Oak St,21157.0,13471.0,0.0068197678822681,0.0111588430787174,41.90096039009614,-87.62377663865593,34628.0,0.0043390751964492,-0.0043390751964492,1.6362495960429255,weekend_oriented
Theater on the Lake,15407.0,12444.0,0.0049663073102096,0.0103081169379823,41.926277,-87.630834,27851.0,0.0053418096277726,-0.0053418096277726,2.0756097475444744,weekend_oriented
Streeter Dr & Grand Ave,17854.0,12071.0,0.0057550756614839,0.0099991385051739,41.892278002970286,-87.61204300164603,29925.0,0.0042440628436899,-0.0042440628436899,1.7374467958165536,weekend_oriented
Millennium Park,17129.0,10356.0,0.00552137845892,0.0085785004025831,41.8810317,-87.62408432,27485.0,0.003057121943663,-0.003057121943663,1.5536880713250318,weekend_oriented
Wells St & Concord Ln,18316.0,9219.0,0.0059039971891867,0.0076366546167839,41.912133,-87.634656,27535.0,0.0017326574275971,-0.0017326574275971,1.2934718765277642,weekend_oriented
Kingsbury St & Kinzie St,31094.0,8919.0,0.0100228700917543,0.0073881464938817,41.889172621529056,-87.63849963502554,40013.0,-0.0026347235978726,0.0026347235978726,0.7371288552199211,weekday_oriented
Clark St & Lincoln Ave,14534.0,8838.0,0.0046849036442258,0.0073210493006981,41.915689,-87.6346,23372.0,0.0026361456564723,-0.0026361456564723,1.5626892875442795,weekend_oriented
Dusable Harbor,11732.0,8761.0,0.0037817042489374,0.0072572655491532,41.88697599432289,-87.61281299950515,20493.0,0.0034755613002157,-0.0034755613002157,1.9190460576461557,weekend_oriented
Clark St & Armitage Ave,15407.0,8627.0,0.0049663073102096,0.0071462652542569,41.918305755768,-87.63628183370878,24034.0,0.0021799579440472,-0.0021799579440472,1.4389493780653428,weekend_oriented
Clark St & Elm St,20810.0,8555.0,0.0067079155660065,0.0070866233047604,41.90301732164141,-87.63152289470456,29365.0,0.0003787077387538,-0.0003787077387538,1.056456834998965,weekend_oriented
Shedd Aquarium,11191.0,8315.0,0.0036073177846794,0.0068878168064386,41.86722596201104,-87.61535540410257,19506.0,0.0032804990217592,-0.0032804990217592,1.9094009200661,weekend_oriented
Wells St & Elm St,18124.0,8113.0,0.0058421077231284,0.0067204880036845,41.903222,-87.634324,26237.0,0.000878380280556,-0.000878380280556,1.1503532923101312,weekend_oriented
Montrose Harbor,10026.0,7717.0,0.0032317905557319,0.0063924572814536,41.963982,-87.638181,17743.0,0.0031606667257217,-0.0031606667257217,1.977992135698209,weekend_oriented
DuSable Lake Shore Dr & Diversey Pkwy,12317.0,7044.0,0.0039702737158338,0.0058349707257431,41.932588,-87.636427,19361.0,0.0018646970099092,-0.0018646970099092,1.4696644800100715,weekend_oriented
Indiana Ave & Roosevelt Rd,13985.0,6983.0,0.0045079384522153,0.005784440740753,41.86788801019692,-87.6230410031074,20968.0,0.0012765022885376,-0.0012765022885376,1.2831675762438033,weekend_oriented
State St & Chicago Ave,19184.0,6966.0,0.0061837891503253,0.0057703586137885,41.896617200407526,-87.62857854366302,26150.0,-0.0004134305365367,0.0004134305365367,0.933142857942064,weekday_oriented
McClurg Ct & Ohio St,15303.0,6651.0,0.004932783849428,0.0055094250847412,41.892592119709725,-87.61728912591934,21954.0,0.0005766412353131,-0.0005766412353131,1.1168997337031716,weekend_oriented
