month,month_name,day_type,trip_count
1,Jan,weekday,111017
1,Jan,weekend,27565
2,Feb,weekday,119044
2,Feb,weekend,32788
3,Mar,weekday,214828
3,Mar,weekend,83055
4,Apr,weekday,278775
4,Apr,weekend,92286
5,May,weekday,358992
5,May,weekend,143012
6,Jun,weekday,458222
6,Jun,weekend,219592
7,Jul,weekday,560340
7,Jul,weekend,202111
8,Aug,weekday,508760
8,Aug,weekend,280826
9,Sep,weekday,524082
9,Sep,weekend,189876
10,Oct,weekday,470587
10,Oct,weekend,174890
11,Nov,weekday,252490
11,Nov,weekend,103631
12,Dec,weekday,113849
12,Dec,weekend,26550
