osm_type,osm_id,lat,lon,name,amenity,shop,tourism,leisure,office,public_transport,railway,highway,service_category
node,27607230,41.8043175,-87.7036888,Kedzie,,,,,,stop_position,stop,,transit
node,27607248,41.8046438,-87.6836628,Western,,,,,,stop_position,stop,,transit
node,354106280,41.7723239,-87.6708263,Golgotha School,school,,,,,,,,education
node,354119589,41.8297552,-87.6728304,Longfellow School,school,,,,,,,,education
node,354120955,41.7846309,-87.7054796,Nazareth School,school,,,,,,,,education
node,354131407,41.8153439,-87.6947946,Peace Lutheran School,school,,,,,,,,education
node,354136384,41.7928096,-87.7041328,Saint Gall School,school,,,,,,,,education
node,354146775,41.7655891,-87.6694951,Benedict the African School,school,,,,,,,,education
node,354230735,41.7850574,-87.6660251,Charles Harrison Mason Bible College,school,,,,,,,,education
node,354234795,41.7942,-87.6697737,Mays School,school,,,,,,,,education
node,354234850,41.7764135,-87.7033406,Magic Mirror Learning Center,school,,,,,,,,education
node,354235957,41.7692001,-87.6831069,Nationwide Trucking School,driving_school,,,,,,,,other_service
node,354236306,41.8086441,-87.6858858,Little Peoples Nursery School,school,,,,,,,,education
node,354237936,41.8151973,-87.697119,Franciscan Sisters School,school,,,,,,,,education
node,354245575,41.7850414,-87.6658079,Philadelphia Church of God in Christ School,school,,,,,,,,education
node,354246712,41.8147551,-87.6972752,Holy Martyrs School,school,,,,,,,,education
node,354259289,41.8253109,-87.6669967,Felician Sisters School,school,,,,,,,,education
node,354272088,41.7862315,-87.6930723,Study Progress School,school,,,,,,,,education
node,705736885,41.8297329,-87.6801802,35th/Archer,,,,,,stop_position,stop,,transit
node,1280939559,41.8043897,-87.7050152,Kedzie,,,,,,stop_position,stop,,transit
node,1699222286,41.8238296,-87.6887021,Tio Luis,restaurant,,,,,,,,food_drink
node,1895426593,41.8282214,-87.7050632,36th Street & Kedzie Terminal,,,,,,stop_position,,,transit
node,2001851198,41.8324359,-87.6755413,La Palapa Mariscos,restaurant,,,,,,,,food_drink
node,2001852056,41.831001,-87.6761045,Cermak Fresh Market,,supermarket,,,,,,,retail
node,2016950589,41.8047216,-87.6849886,Western,,,,,,stop_position,stop,,transit
node,2016969839,41.8291429,-87.6813133,35th/Archer,,,,,,stop_position,stop,,transit
node,2274247594,41.8033885,-87.7057244,Aldi,,supermarket,,,,,,,retail
node,2352761134,41.807559,-87.7053678,Pete's Market,,supermarket,,,,,,,retail
node,2361072389,41.8079823,-87.7032891,Dunkin',fast_food,,,,,,,,food_drink
node,3191114166,41.7788191,-87.7022372,Tacos Villa,restaurant,,,,,,,,food_drink
node,3732382569,41.8261501,-87.6989187,Brighton Park Maintenance Facility,,,,,,,service_station,,transit
node,3813420245,41.7784408,-87.7033921,Kedzie & 63rd Place Terminal,,,,,,platform,,bus_stop,transit
node,3825932401,41.8282188,-87.705128,36th Street & Kedzie Terminal,,,,,,platform,,bus_stop,transit
node,3859138097,41.7709967,-87.6912827,,,,artwork,,,,,,tourism
node,3909019470,41.8053463,-87.6840981,Western Orange Line Station,,,,,,platform,,bus_stop,transit
node,4348192793,41.7714352,-87.7034306,MLK Living Memorial,,,artwork,,,,,,tourism
node,4376789540,41.7681569,-87.6832026,Western & 69th Street,,,,,,platform,,bus_stop,transit
node,4376789541,41.7682921,-87.6809555,69th Street & Oakley,,,,,,platform,,bus_stop,transit
node,4376789542,41.7684511,-87.6834939,Western & 69th Street,,,,,,platform,,bus_stop,transit
node,4376789543,41.7650197,-87.6831103,Western & 71st Street,,,,,,platform,,bus_stop,transit
node,4376789544,41.7685963,-87.6662085,69th Street & Paulina,,,,,,platform,,bus_stop,transit
node,4376789545,41.7646461,-87.6904288,71st Street & Washtenaw,,,,,,platform,,bus_stop,transit
node,4376789546,41.7685191,-87.6739333,69th Street & Damen,,,,,,platform,,bus_stop,transit
node,4376789547,41.7645508,-87.6830811,Western & 71st Street,,,,,,platform,,bus_stop,transit
node,4376789548,41.7648712,-87.6834135,Western & 71st Street,,,,,,platform,,bus_stop,transit
node,4376789549,41.7684597,-87.6664911,69th Street & Paulina,,,,,,platform,,bus_stop,transit
node,4376789550,41.7645941,-87.6858274,71st Street & Campbell,,,,,,platform,,bus_stop,transit
node,4376789551,41.7647252,-87.6855512,71st Street & Campbell,,,,,,platform,,bus_stop,transit
node,4376789552,41.7644666,-87.6928371,71st Street & California,,,,,,platform,,bus_stop,transit
node,4376789553,41.768369,-87.6733661,69th Street & Damen,,,,,,platform,,bus_stop,transit
node,4376789554,41.7684321,-87.680691,69th Street & Oakley,,,,,,platform,,bus_stop,transit
node,4376789555,41.768218,-87.6737261,Damen & 69th Street,,,,,,platform,,bus_stop,transit
node,4376789556,41.7646213,-87.6928481,71st Street & California,,,,,,platform,,bus_stop,transit
node,4376789557,41.7685801,-87.6686453,69th Street & Wood,,,,,,platform,,bus_stop,transit
node,4376789558,41.7645481,-87.6882763,71st Street & Rockwell,,,,,,platform,,bus_stop,transit
node,4376789560,41.7683732,-87.6737924,69th Street & Damen,,,,,,platform,,bus_stop,transit
node,4376789561,41.7683101,-87.6735202,Damen & 69th Street,,,,,,platform,,bus_stop,transit
node,4376789562,41.7685511,-87.6710633,69th Street & Wolcott,,,,,,platform,,bus_stop,transit
