day_type,nearest_service_category,count,total_day_type,share,share_percent
weekday,education,24,100000,0.00024,0.024
weekday,food_drink,16764,100000,0.16764,16.764000000000003
weekday,health,654,100000,0.00654,0.654
weekday,no_service_within_250m,44413,100000,0.44413,44.413000000000004
weekday,office,2395,100000,0.02395,2.395
weekday,other_service,454,100000,0.00454,0.45399999999999996
weekday,recreation,543,100000,0.00543,0.543
weekday,retail,7722,100000,0.07722,7.7219999999999995
weekday,tourism,5121,100000,0.05121,5.1209999999999996
weekday,transit,21910,100000,0.2191,21.91
weekend,education,16,100000,0.00016,0.016
weekend,food_drink,13550,100000,0.1355,13.55
weekend,health,574,100000,0.00574,0.5740000000000001
weekend,no_service_within_250m,50512,100000,0.50512,50.512
weekend,office,1669,100000,0.01669,1.669
weekend,other_service,180,100000,0.0018,0.18
weekend,recreation,356,100000,0.00356,0.356
weekend,retail,7148,100000,0.07148,7.148000000000001
weekend,tourism,5448,100000,0.05448,5.448
weekend,transit,20547,100000,0.20547,20.547
