nearest_service_category,weekday,weekend,weekday_percent,weekend_percent,weekend_minus_weekday_percent
no_service_within_250m,0.44413,0.50512,44.413000000000004,50.512,6.098999999999997
tourism,0.05121,0.05448,5.1209999999999996,5.448,0.32700000000000085
education,0.00024,0.00016,0.024,0.016,-0.008
health,0.00654,0.00574,0.654,0.5740000000000001,-0.07999999999999996
recreation,0.00543,0.00356,0.543,0.356,-0.18700000000000006
other_service,0.00454,0.0018,0.45399999999999996,0.18,-0.27399999999999997
retail,0.07722,0.07148,7.7219999999999995,7.148000000000001,-0.573999999999999
office,0.02395,0.01669,2.395,1.669,-0.726
transit,0.2191,0.20547,21.91,20.547,-1.3629999999999995
food_drink,0.16764,0.1355,16.764000000000003,13.55,-3.214000000000002
