end_station_name,end_lat,end_lng
2112 W Peterson Ave,41.99117799999999,-87.683593
21st St & Pulaski Rd,41.85357638068863,-87.72469529380317
63rd St Beach,41.78091096424803,-87.57632374763489
900 W Harrison St,41.874754,-87.649807
Aberdeen St & 103rd St,41.70704,-87.65022
Aberdeen St & Carroll Ave,41.88819,-87.65459
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743
Aberdeen St & Monroe St,41.880381631942605,-87.65540930667021
Aberdeen St & Randolph St,41.88411416441933,-87.65426402007539
Ada St & 113th Place,41.68759,-87.65541
Ada St & Washington Blvd,41.88283,-87.661206
Addison Red Line,41.9472,-87.654
Addison Red Line Corral,41.9471976,-87.6539514
Addison/Racine,41.94729999999999,-87.6592
Addison/Racine Corral,41.9470683,-87.6593535
Addison/Sheffield SE Corral,41.9470281,-87.654252
Addison/Sheffield SW Corral,41.9469539,-87.65441230000002
Addison/Wilton Corral,41.9473827,-87.6531716
Adler Planetarium,41.866094999999994,-87.607267
Albany Ave & 16th St,41.85936,-87.70302
Albany Ave & 26th St,41.844507,-87.701655
Albany Ave & Belmont Ave,41.939638,-87.705263
Albany Ave & Bloomingdale Ave,41.91402671273,-87.70512646200001
Albany Ave & Douglas Blvd,41.86310853149135,-87.70312034955664
Albany Ave & Montrose Ave,41.96104100000001,-87.705866
Altgeld Gardens,41.65666552967373,-87.59880065917969
Archer & Wentworth,41.8546868,-87.6308531
Archer (Damen) Ave & 37th St,41.826712,-87.683144
Archer Ave & 43rd St,41.8154913,-87.7024412
Archer Ave & 49th St,41.80420000000001,-87.72082
Archer Ave & Homan Ave,41.81153,-87.70885
Archer Ave & Wentworth Ave,41.8546868,-87.6308531
Artesian Ave & 55th St,41.79402,-87.68577
Artesian Ave & 71st St,41.764345,-87.684417
Artesian Ave & Hubbard St,41.8895,-87.688257
Artesian Ave & Marquette Rd,41.77203,-87.684637
Ashland Ave & 13th St,41.86523400000001,-87.66650700000001
Ashland Ave & 50th St,41.803023,-87.664699
Ashland Ave & 63rd St,41.779374,-87.66484299999999
Ashland Ave & 66th St,41.774074,-87.663815
Ashland Ave & 74th St,41.75923602425868,-87.66347408294678
Ashland Ave & 78th St,41.75220484941116,-87.66369938850403
Ashland Ave & Archer Ave,41.83920868403,-87.6656098589
Ashland Ave & Augusta Blvd,41.89962082184989,-87.66838462985125
Ashland Ave & Belle Plaine Ave,41.9557944253819,-87.66915741480612
Ashland Ave & Blackhawk St,41.907066,-87.667252
Ashland Ave & Chicago Ave,41.89595435734305,-87.6677280664444
Ashland Ave & Division St,41.90318794361149,-87.66894633544676
Ashland Ave & Garfield Blvd,41.792822,-87.66442900000001
Ashland Ave & Grace St,41.950771514725965,-87.66872750341331
Ashland Ave & Grand Ave,41.891072,-87.666611
Ashland Ave & Lake St,41.88592,-87.66717
Ashland Ave & McDowell Ave,41.809719,-87.663477
Ashland Ave & Pershing Rd,41.823465,-87.665577
Ashland Ave & Wellington Ave,41.936083,-87.669807
Ashland Ave & Wrightwood Ave,41.92882999871071,-87.6685067415486
Augusta Blvd & Laramie Ave,41.8986607,-87.7554551
Austin Ave & Milwaukee Ave,41.98736,-87.77804999999998
Austin Blvd & Chicago Ave,41.894887,-87.774704
Austin Blvd & Lake St,41.88794379427211,-87.77427345514297
Austin Blvd & Madison St,41.880281,-87.774453
Ave L & 114th,41.68803,-87.53641
Avenue L & 114th St,41.6881169,-87.53654969999998
Avenue O & 118th St,41.68100145911039,-87.5379312226869
Avenue O & 134th St,41.6519026853208,-87.53955539376464
Avers Ave & 16th St,41.85909,-87.72121
Avers Ave & Belmont Ave,41.939408,-87.723574
Avers Ave & Foster Ave,41.97541,-87.72451999999998
Avondale Ave & Irving Park Rd,41.953393,-87.732002
Baltimore Ave & 133rd St,41.65349,-87.54703
Baltimore Ave & 87th St,41.73733560041666,-87.54851460456847
Bennett Ave & 79th St,41.751785,-87.578496
Benson Ave & Church St,42.048214,-87.683485
Bernard St & Elston Ave,41.949923,-87.713949
Bernard St & Peterson Ave,41.9904393,-87.715236
