condition_type,day_type,condition_value,end_station_name,return_count,end_lat,end_lng,total_returns_in_group,return_share
cold,weekday,cold,2112 W Peterson Ave,41,41.99117799999999,-87.683593,285975,0.00014336917562724014
cold,weekday,cold,21st St & Pulaski Rd,3,41.85357638068863,-87.72469529380317,285975,1.049042748492001e-05
cold,weekday,cold,63rd St Beach,7,41.78091096424803,-87.57632374763489,285975,2.4477664131480024e-05
cold,weekday,cold,900 W Harrison St,862,41.874754,-87.649807,285975,0.003014249497333683
cold,weekday,cold,Aberdeen St & 103rd St,2,41.70704,-87.65022,285975,6.993618323280007e-06
cold,weekday,cold,Aberdeen St & Carroll Ave,275,41.88819,-87.65459,285975,0.000961622519451001
cold,weekday,cold,Aberdeen St & Jackson Blvd,1085,41.87772613,-87.65478743,285975,0.003794037940379404
cold,weekday,cold,Aberdeen St & Monroe St,687,41.880381631942605,-87.65540930667021,285975,0.0024023078940466824
cold,weekday,cold,Aberdeen St & Randolph St,914,41.88411416441933,-87.65426402007539,285975,0.003196083573738963
cold,weekday,cold,Ada St & Washington Blvd,645,41.88283,-87.661206,285975,0.0022554419092578023
cold,weekday,cold,Addison/Racine Corral,21,41.9470683,-87.6593535,285975,7.343299239444007e-05
cold,weekday,cold,Addison/Sheffield SE Corral,1,41.9470281,-87.654252,285975,3.4968091616400035e-06
cold,weekday,cold,Addison/Sheffield SW Corral,4,41.9469539,-87.65441230000002,285975,1.3987236646560014e-05
cold,weekday,cold,Addison/Wilton Corral,8,41.9473827,-87.6531716,285975,2.7974473293120028e-05
cold,weekday,cold,Adler Planetarium,222,41.866095,-87.607267,285975,0.0007762916338840808
cold,weekday,cold,Albany Ave & 16th St,2,41.85936,-87.70302,285975,6.993618323280007e-06
cold,weekday,cold,Albany Ave & 26th St,16,41.844507,-87.701655,285975,5.5948946586240056e-05
cold,weekday,cold,Albany Ave & Belmont Ave,31,41.939638,-87.705263,285975,0.00010840108401084011
cold,weekday,cold,Albany Ave & Bloomingdale Ave,238,41.91402671273,-87.70512646200001,285975,0.0008322405804703208
cold,weekday,cold,Albany Ave & Douglas Blvd,1,41.86310853149135,-87.70312034955664,285975,3.4968091616400035e-06
cold,weekday,cold,Albany Ave & Montrose Ave,134,41.96104100000001,-87.705866,285975,0.00046857242765976047
cold,weekday,cold,Altgeld Gardens,1,41.65666552967373,-87.59880065917969,285975,3.4968091616400035e-06
cold,weekday,cold,Archer & Wentworth,10,41.8546868,-87.6308531,285975,3.4968091616400035e-05
cold,weekday,cold,Archer (Damen) Ave & 37th St,37,41.826712,-87.683144,285975,0.00012938193898068013
cold,weekday,cold,Archer Ave & 49th St,8,41.80420000000001,-87.72082,285975,2.7974473293120028e-05
cold,weekday,cold,Archer Ave & Homan Ave,8,41.81153,-87.70885,285975,2.7974473293120028e-05
cold,weekday,cold,Archer Ave & Wentworth Ave,34,41.8546868,-87.6308531,285975,0.00011889151149576012
cold,weekday,cold,Artesian Ave & 55th St,6,41.79402,-87.68577,285975,2.098085496984002e-05
