condition_type,day_type,condition_value,end_station_name,return_count
cold,weekday,cold,2112 W Peterson Ave,41
cold,weekday,cold,21st St & Pulaski Rd,3
cold,weekday,cold,63rd St Beach,7
cold,weekday,cold,900 W Harrison St,862
cold,weekday,cold,Aberdeen St & 103rd St,2
cold,weekday,cold,Aberdeen St & Carroll Ave,275
cold,weekday,cold,Aberdeen St & Jackson Blvd,1085
cold,weekday,cold,Aberdeen St & Monroe St,687
cold,weekday,cold,Aberdeen St & Randolph St,914
cold,weekday,cold,Ada St & Washington Blvd,645
cold,weekday,cold,Addison/Racine Corral,21
cold,weekday,cold,Addison/Sheffield SE Corral,1
cold,weekday,cold,Addison/Sheffield SW Corral,4
cold,weekday,cold,Addison/Wilton Corral,8
cold,weekday,cold,Adler Planetarium,222
cold,weekday,cold,Albany Ave & 16th St,2
cold,weekday,cold,Albany Ave & 26th St,16
cold,weekday,cold,Albany Ave & Belmont Ave,31
cold,weekday,cold,Albany Ave & Bloomingdale Ave,238
cold,weekday,cold,Albany Ave & Douglas Blvd,1
cold,weekday,cold,Albany Ave & Montrose Ave,134
cold,weekday,cold,Altgeld Gardens,1
cold,weekday,cold,Archer & Wentworth,10
cold,weekday,cold,Archer (Damen) Ave & 37th St,37
cold,weekday,cold,Archer Ave & 49th St,8
cold,weekday,cold,Archer Ave & Homan Ave,8
cold,weekday,cold,Archer Ave & Wentworth Ave,34
cold,weekday,cold,Artesian Ave & 55th St,6
cold,weekday,cold,Artesian Ave & 71st St,4
cold,weekday,cold,Artesian Ave & Hubbard St,452
cold,weekday,cold,Artesian Ave & Marquette Rd,2
cold,weekday,cold,Ashland Ave & 13th St,219
cold,weekday,cold,Ashland Ave & 50th St,11
cold,weekday,cold,Ashland Ave & 63rd St,2
cold,weekday,cold,Ashland Ave & 66th St,7
cold,weekday,cold,Ashland Ave & 74th St,2
cold,weekday,cold,Ashland Ave & 78th St,3
cold,weekday,cold,Ashland Ave & Archer Ave,78
