start_station_id,start_station_name,weekday_count,weekend_count,total_start_count,start_lat,start_lng,weekday_system_share,weekend_system_share,share_difference_per_10k,weekend_trip_share_at_station
CHI01747,Navy Pier,19503,15596,35099,41.8922785003185,-87.61204377189962,0.00620844167254521,0.012771735124892108,65.63293452346898,0.4443431436793071
CHI00374,DuSable Lake Shore Dr & Monroe St,17272,13753,31025,41.8809601838986,-87.61674379509017,0.0054982415304415146,0.01126248225010523,57.64240719663716,0.4432876712328767
CHI00525,DuSable Lake Shore Dr & North Blvd,16202,11822,28024,41.911722323491084,-87.62680403928636,0.005157625594963723,0.009681165212007854,45.23539617044131,0.4218526976876963
CHI00420,Theater on the Lake,12611,9927,22538,41.92627653867793,-87.63083536804876,0.0040144930488882555,0.008129328967992048,41.14835919103792,0.4404561185553288
CHI00252,Michigan Ave & Oak St,17139,11273,28412,41.90096092130562,-87.62377573064832,0.005455903287994275,0.009231583102263961,37.75679814269686,0.3967689708573842
CHI00427,Montrose Harbor,8359,6317,14676,41.96398169029728,-87.63818106369146,0.0026609426211765064,0.0051730604503682645,25.12117829191758,0.43043063505042245
CHI01747,Streeter Dr & Grand Ave,11309,7393,18702,41.89227806240747,-87.61204319048456,0.0036000239386152783,0.006054208629028428,24.541846904131493,0.39530531493957866
CHI00531,Dusable Harbor,9548,6707,16255,41.88697499321519,-87.61281347934997,0.0030394401420018283,0.005492435719585238,24.529955775834097,0.4126115041525684
CHI00533,Shedd Aquarium,8979,6402,15381,41.86722734425666,-87.6153637186533,0.002858308864163638,0.005242667880838631,23.843590166749927,0.416227813536181
CHI01742,Millennium Park,13225,7799,21024,41.881033546926396,-87.62408464855633,0.004209949295975512,0.006386686473392764,21.767371774172524,0.37095700152207
CHI00413,Clark St & Lincoln Ave,11035,6924,17959,41.91569188129882,-87.6346007417589,0.0035128007925209655,0.005670139395021349,21.57338602500384,0.3855448521632608
CHI00474,Clark St & Armitage Ave,11504,6660,18164,41.91830588274652,-87.63628343090005,0.003662098805361231,0.005453946905089859,17.91848099728628,0.3666593261396168
13022,Streeter Dr & Grand Ave,6580,4695,11275,41.89227805037336,-87.61204291077419,0.0020946288368634304,0.0038447868948043376,17.501580579409072,0.4164079822616408
CHI00493,DuSable Lake Shore Dr & Diversey Pkwy,9106,5547,14653,41.93258641276308,-87.6364276923167,0.002898737110711002,0.004542499021401419,16.43761910690417,0.3785572920221115
CHI00255,DuSable Lake Shore Dr & Wellington Ave,7341,4834,12175,41.936690430086166,-87.63682827339991,0.0023368799834976354,0.003958615516397054,16.217355328994188,0.3970431211498973
CHI00298,Lakefront Trail & Bryn Mawr Ave,5449,4088,9537,41.98404391643144,-87.6522822700506,0.0017345946097369045,0.003347707950151253,16.131133404143483,0.42864632484009646
CHI00480,DuSable Lake Shore Dr & Belmont Ave,8117,4973,13090,41.94077334446538,-87.63919027556705,0.002583906119881529,0.00407244413798977,14.885380181082413,0.3799083269671505
CHI01163,Michigan Ave & 8th St,8365,5069,13434,41.87277042747161,-87.6239802023205,0.002662852617076382,0.004151059588873948,14.882069717975662,0.37732618728599077
CHI00626,Lincoln Park Conservatory,5601,3989,9590,41.92393678016597,-87.63582634814988,0.0017829811725337495,0.003266635766426944,14.836545938931945,0.4159541188738269
CHI01749,Field Museum,5579,3875,9454,41.86531195473487,-87.61787546142645,0.0017759778542342061,0.0031732799185019826,13.973020642677765,0.40987941612016077
CHI00396,Wells St & Concord Ln,13366,6844,20210,41.9121309910333,-87.63465756222936,0.004254834199622585,0.0056046265192845335,13.497923196619487,0.3386442355269669
CHI00360,Adler Planetarium,6592,4160,10752,41.86609591318238,-87.60726867562083,0.002098448828663181,0.0034066695383143863,13.082207096512052,0.3869047619047619
13300,DuSable Lake Shore Dr & Monroe St,4988,3523,8511,41.88095951211545,-87.6167436176876,0.0015878432580964726,0.002885023265259996,12.971800071635233,0.41393490776641995
CHI00450,Indiana Ave & Roosevelt Rd,10037,5313,15350,41.86789014229585,-87.62304131269632,0.0031951048078416792,0.004350873859871235,11.557690520295557,0.3461237785016287
