end_station_name,end_trip_count,end_lat,end_lng,education,food_drink,health,office,other_amenity,recreation,retail,tourism,transit,total_services_500m
Kingsbury St & Kinzie St,40013.0,41.889172621529056,-87.63849963502554,1.0,72.0,1.0,12.0,261.0,243.0,33.0,14.0,43.0,680.0
DuSable Lake Shore Dr & Monroe St,37916.0,41.880958,-87.616743,0.0,5.0,1.0,2.0,153.0,146.0,3.0,19.0,13.0,342.0
Navy Pier,34777.0,41.892278,-87.612043,0.0,26.0,1.0,0.0,136.0,138.0,13.0,33.0,40.0,387.0
DuSable Lake Shore Dr & North Blvd,34670.0,41.911722,-87.626804,3.0,4.0,1.0,4.0,31.0,138.0,2.0,11.0,28.0,222.0
Michigan Ave & Oak St,34628.0,41.90096039009614,-87.62377663865593,3.0,80.0,1.0,5.0,157.0,115.0,137.0,29.0,53.0,580.0
Clinton St & Washington Blvd,30589.0,41.883378993326986,-87.64117008864396,4.0,107.0,3.0,26.0,360.0,255.0,52.0,11.0,94.0,912.0
Streeter Dr & Grand Ave,29925.0,41.892278002970286,-87.61204300164603,0.0,26.0,1.0,0.0,136.0,138.0,13.0,33.0,40.0,387.0
Clark St & Elm St,29365.0,41.90301732164141,-87.63152289470456,6.0,64.0,3.0,1.0,92.0,64.0,67.0,9.0,76.0,382.0
Canal St & Madison St,29301.0,41.882409,-87.639767,5.0,143.0,7.0,30.0,437.0,304.0,64.0,17.0,145.0,1152.0
Clinton St & Madison St,29161.0,41.88275006331282,-87.64119022354309,5.0,115.0,4.0,27.0,369.0,283.0,58.0,13.0,104.0,978.0
Theater on the Lake,27851.0,41.926277,-87.630834,0.0,2.0,0.0,0.0,91.0,23.0,1.0,40.0,7.0,164.0
Wells St & Concord Ln,27535.0,41.912133,-87.634656,5.0,48.0,6.0,4.0,69.0,67.0,36.0,9.0,77.0,321.0
Millennium Park,27485.0,41.8810317,-87.62408432,9.0,126.0,8.0,30.0,478.0,348.0,98.0,55.0,174.0,1326.0
Wells St & Elm St,26237.0,41.903222,-87.634324,7.0,57.0,3.0,1.0,89.0,70.0,40.0,3.0,82.0,352.0
State St & Chicago Ave,26150.0,41.896617200407526,-87.62857854366302,7.0,148.0,3.0,17.0,158.0,86.0,151.0,33.0,85.0,688.0
Clark St & Armitage Ave,24034.0,41.918305755768,-87.63628183370878,1.0,26.0,1.0,2.0,125.0,95.0,8.0,63.0,59.0,380.0
Wells St & Huron St,23741.0,41.89478399980203,-87.6343724037867,2.0,110.0,5.0,15.0,148.0,36.0,42.0,16.0,65.0,439.0
Clinton St & Jackson Blvd,23715.0,41.87831662050808,-87.64098109175531,5.0,90.0,3.0,17.0,381.0,256.0,28.0,14.0,139.0,933.0
Clark St & Lincoln Ave,23372.0,41.915689,-87.6346,2.0,22.0,1.0,4.0,111.0,89.0,12.0,37.0,55.0,333.0
Dearborn St & Erie St,22070.0,41.893992,-87.629318,4.0,221.0,4.0,26.0,158.0,50.0,98.0,37.0,105.0,703.0
