end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,end_lat,end_lng,total_return_count,weekend_minus_weekday_share,weekday_minus_weekend_share,weekend_weekday_share_ratio,orientation
DuSable Lake Shore Dr & Monroe St,20698.0,17218.0,0.006671813377472557,0.014262709533765627,41.880958,-87.616743,37916.0,0.00759089615629307,-0.00759089615629307,2.137755897694606,weekend_oriented
Navy Pier,19160.0,15617.0,0.006176052967068035,0.012936504517877674,41.892278,-87.612043,34777.0,0.00676045155080964,-0.00676045155080964,2.094623134263031,weekend_oriented
DuSable Lake Shore Dr & North Blvd,19730.0,14940.0,0.0063597873194286185,0.012375704520528427,41.911722,-87.626804,34670.0,0.006015917201099809,-0.006015917201099809,1.9459304144953513,weekend_oriented
Theater on the Lake,15407.0,12444.0,0.004966307310209667,0.010308116937982312,41.926277,-87.630834,27851.0,0.005341809627772646,-0.005341809627772646,2.0756097475444744,weekend_oriented
Michigan Ave & Oak St,21157.0,13471.0,0.006819767882268185,0.011158843078717434,41.90096039009614,-87.62377663865593,34628.0,0.004339075196449249,-0.004339075196449249,1.6362495960429257,weekend_oriented
Streeter Dr & Grand Ave,17854.0,12071.0,0.0057550756614839615,0.009999138505173939,41.892278002970286,-87.61204300164603,29925.0,0.004244062843689977,-0.004244062843689977,1.7374467958165536,weekend_oriented
Dusable Harbor,11732.0,8761.0,0.003781704248937484,0.00725726554915325,41.88697599432289,-87.61281299950515,20493.0,0.0034755613002157666,-0.0034755613002157666,1.9190460576461554,weekend_oriented
Shedd Aquarium,11191.0,8315.0,0.003607317784679456,0.0068878168064386795,41.867225962011034,-87.61535540410257,19506.0,0.0032804990217592234,-0.0032804990217592234,1.9094009200661002,weekend_oriented
Montrose Harbor,10026.0,7717.0,0.003231790555731948,0.006392457281453673,41.963982,-87.638181,17743.0,0.003160666725721725,-0.003160666725721725,1.977992135698209,weekend_oriented
Millennium Park,17129.0,10356.0,0.005521378458920061,0.008578500402583159,41.8810317,-87.62408432,27485.0,0.0030571219436630976,-0.0030571219436630976,1.5536880713250318,weekend_oriented
Clark St & Lincoln Ave,14534.0,8838.0,0.004684903644225825,0.007321049300698142,41.915689,-87.6346,23372.0,0.002636145656472317,-0.002636145656472317,1.5626892875442797,weekend_oriented
Clark St & Armitage Ave,15407.0,8627.0,0.004966307310209667,0.007146265254256944,41.918305755767996,-87.63628183370878,24034.0,0.0021799579440472776,-0.0021799579440472776,1.4389493780653428,weekend_oriented
Lakefront Trail & Bryn Mawr Ave,6778.0,5157.0,0.0021848270882456754,0.004271854632688427,41.98404411519213,-87.65228122472763,11935.0,0.0020870275444427517,-0.0020870275444427517,1.9552365038104884,weekend_oriented
Field Museum,5521.0,4607.0,0.0017796444901452308,0.003816256407367769,41.8653120005395,-87.61786701481803,10128.0,0.002036611917222538,-0.002036611917222538,2.1443919187839695,weekend_oriented
Michigan Ave & 8th St,9895.0,6152.0,0.003189563888785919,0.005096073240313982,41.87277296771354,-87.62398098838872,16047.0,0.001906509351528063,-0.001906509351528063,1.5977333642689302,weekend_oriented
DuSable Lake Shore Dr & Diversey Pkwy,12317.0,7044.0,0.003970273715833872,0.005834970725743122,41.932588,-87.636427,19361.0,0.0018646970099092499,-0.0018646970099092499,1.4696644800100715,weekend_oriented
DuSable Lake Shore Dr & Wellington Ave,9542.0,5887.0,0.0030757775267099786,0.004876557731750392,41.936688449499705,-87.63682901859283,15429.0,0.0018007802050404136,-0.0018007802050404136,1.58547134957946,weekend_oriented
Wells St & Concord Ln,18316.0,9219.0,0.00590399718918675,0.0076366546167839075,41.912133,-87.634656,27535.0,0.0017326574275971576,-0.0017326574275971576,1.2934718765277642,weekend_oriented
DuSable Lake Shore Dr & Belmont Ave,10711.0,6146.0,0.0034525941195337017,0.005091103077855938,41.940775,-87.639192,16857.0,0.0016385089583222366,-0.0016385089583222366,1.4745731548573613,weekend_oriented
Adler Planetarium,7762.0,4876.0,0.002502010601794472,0.004039085357570055,41.866094999999994,-87.607267,12638.0,0.0015370747557755826,-0.0015370747557755826,1.6143355828858568,weekend_oriented
