end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
Canal St & Madison St,4183.0,25118.0,0.011406895949911101,0.006370597958152085,29301.0,0.005036297991759016,1.7905532941002915,41.882409,-87.639767
University Ave & 57th St,3409.0,17539.0,0.00929622478920558,0.004448360442233833,20948.0,0.004847864346971747,2.0898090026914034,41.791478002955266,-87.59986050810642
Clinton St & Washington Blvd,4192.0,26397.0,0.011431438637826282,0.0066949866351357825,30589.0,0.004736452002690499,1.7074623973662406,41.883378993326986,-87.64117008864396
Ellis Ave & 60th St,2835.0,14830.0,0.007730946693281848,0.003761285441491975,17665.0,0.003969661251789873,2.055399878084064,41.78509714636001,-87.6010727606
Clinton St & Madison St,3785.0,25376.0,0.010321563750995343,0.006436033672508452,29161.0,0.0038855300784868905,1.603714907734097,41.88275006331282,-87.64119022354309
Kingsbury St & Kinzie St,4445.0,35568.0,0.012121360864775244,0.009020998016384799,40013.0,0.0031003628483904453,1.3436828717927216,41.889172621529056,-87.63849963502554
Canal St & Adams St,2853.0,18618.0,0.007780032069112209,0.004722023759251354,21471.0,0.003058008309860855,1.647605310385048,41.879255,-87.639904
Blackstone Ave & 59th St,1730.0,6782.0,0.004717650010362468,0.0017200969564530393,8512.0,0.002997553053909429,2.742664156226655,41.787877,-87.590461
Clinton St & Jackson Blvd,2955.0,20760.0,0.008058182532150921,0.005265292364489103,23715.0,0.0027928901676618177,1.530433913995752,41.87831662050808,-87.64098109175531
Ellis Ave & 55th St,2350.0,14826.0,0.006408368511186012,0.0037602709342926515,17176.0,0.0026480975768933606,1.7042303384346849,41.79430062054,-87.6014497734
LaSalle St & Jackson Blvd,2136.0,12670.0,0.005824797931869499,0.0032134515538572704,14806.0,0.0026113463780122284,1.812629511170998,41.878166,-87.631929
Clinton St & Lake St,2357.0,15704.0,0.006427457268453374,0.003982955264544165,18061.0,0.002444502003909209,1.6137406091223985,41.885637,-87.641823
