end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
Canal St & Madison St,3877.0,22816.0,0.013557129119678294,0.008101323353442247,26693.0,0.005455805766236048,1.6734461587034075,41.882409,-87.639767
Clinton St & Washington Blvd,4067.0,25033.0,0.014221522860389895,0.008888518035883579,29100.0,0.005333004824506316,1.5999880073358228,41.883378993326986,-87.64117008864396
University Ave & 57th St,2534.0,13863.0,0.008860914415595769,0.0049223635014362666,16397.0,0.003938550914159502,1.8001339423381375,41.791478002955266,-87.59986050810642
Clinton St & Madison St,3333.0,21771.0,0.011654864935746133,0.007730273085895474,25104.0,0.0039245918498506584,1.5076911641479052,41.88275006331282,-87.64119022354309
Canal St & Adams St,2695.0,17029.0,0.00942390069061981,0.006046521536893759,19724.0,0.0033773791537260517,1.5585655445950077,41.879255,-87.639904
Ellis Ave & 60th St,2077.0,11171.0,0.007262872628726287,0.003966509606473673,13248.0,0.003296363022252614,1.8310485838289898,41.78509714636001,-87.6010727606
LaSalle St & Jackson Blvd,2070.0,11860.0,0.007238394964594807,0.00421115423263609,13930.0,0.003027240731958717,1.7188622989952644,41.878166,-87.631929
Clinton St & Jackson Blvd,2750.0,18663.0,0.00961622519451001,0.006626709227966893,21413.0,0.0029895159665431163,1.4511312346096523,41.87831662050808,-87.64098109175531
Clinton St & Lake St,2132.0,12956.0,0.0074551971326164874,0.00460031317352725,15088.0,0.0028548839590892376,1.6205845625757078,41.885637,-87.641823
Blackstone Ave & 59th St,1278.0,5220.0,0.0044689221085759245,0.0018534759776020566,6498.0,0.0026154461309738676,2.411102572397534,41.787877,-87.590461
Canal St & Jackson Blvd,1639.0,9339.0,0.005731270215927966,0.0033160176541811508,10978.0,0.002415252561746815,1.7283591600733115,41.878128645697444,-87.63996997065593
Kingsbury St & Kinzie St,3474.0,27620.0,0.012147915027537372,0.009807089368078314,31094.0,0.002340825659459058,1.2386870694164653,41.889172621529056,-87.63849963502554
Larrabee St & Kingsbury St 1,721.0,594.0,0.0025211994055424425,0.00021091278365816506,1315.0,0.0023102866218842775,11.953701468978602,41.89777797048414,-87.64288463116276
Franklin St & Adams St (Temp),734.0,767.0,0.0025666579246437626,0.00027234024421853974,1501.0,0.002294317680425223,9.424422408029214,41.87943409140013,-87.63550400733948
Ellis Ave & 55th St,1744.0,11344.0,0.006098435177900166,0.004027937067034048,13088.0,0.002070498110866118,1.5140342469045753,41.79430062054,-87.6014497734
Franklin St & Lake St,1538.0,9649.0,0.005378092490602325,0.00342608998235292,11187.0,0.0019520025082494052,1.5697462555150354,41.885836999999995,-87.63549999999998
Ellis Ave & 58th St,1138.0,5870.0,0.003979368825946324,0.0020842727947364124,7008.0,0.0018950960312099116,1.9092356464854827,41.788746136093295,-87.60133399414377
State St & Chicago Ave,2208.0,16976.0,0.007720954628901128,0.00602770271949665,19184.0,0.0016932519094044777,1.280911602195649,41.896617200407526,-87.62857854366302
Wacker Dr & Washington St,1211.0,7570.0,0.004234635894746044,0.0026878952395493426,8781.0,0.0015467406551967016,1.5754465639105293,41.88314336439022,-87.63724207878113
University Ave & 59th St,902.0,4535.0,0.003154121863799283,0.0016102516395450817,5437.0,0.0015438702242542015,1.9587751551150172,41.787878,-87.598906
Kingsbury St & Kinzie St 1,446.0,67.0,0.0015595768860914416,2.3789825766156665e-05,513.0,0.001535787060325285,65.55375174534711,41.889070000000004,-87.63835
Dearborn St & Adams St,1219.0,7745.0,0.004262610368039164,0.002750032844162438,8964.0,0.001512577523876726,1.5500214214045076,41.87936394102892,-87.62977936980188
