end_station_name,return_count_cold,return_count_mild,return_share_cold,return_share_mild,total_return_count,cold_minus_mild_share,cold_mild_share_ratio,end_lat,end_lng
University Ave & 57th St,875.0,3676.0,0.010838195037964649,0.0032632886243853594,4551.0,0.00757490641357929,3.3212485820978954,41.791478002955266,-87.59986050810642
Ellis Ave & 60th St,758.0,3659.0,0.00938897353003109,0.0032481972460897796,4417.0,0.00614077628394131,2.8905177020317807,41.78509714636001,-87.6010727606
Kingsbury St & Kinzie St,971.0,7948.0,0.012027299864987056,0.007055663217251043,8919.0,0.004971636647736013,1.7046305627158957,41.889172621529056,-87.63849963502554
Ellis Ave & 55th St,606.0,3482.0,0.0075062242205789454,0.0030910693661887435,4088.0,0.004415154854390202,2.4283579250361877,41.79430062054,-87.6014497734
State St & Chicago Ave,787.0,6179.0,0.009748182279860776,0.0054852721463757165,6966.0,0.00426291013348506,1.7771554888386352,41.896617200407526,-87.62857854366302
Blackstone Ave & 59th St,452.0,1562.0,0.005598701893897167,0.0013866313469232674,2014.0,0.0042120705469739,4.037626055904338,41.787877,-87.590461
Halsted St & Polk St,320.0,1560.0,0.003963682756741358,0.0013848558906531991,1880.0,0.0025788268660881584,2.8621612698708505,41.87184,-87.64664
Clark St & Elm St,754.0,7801.0,0.009339427495571824,0.00692516718140103,8555.0,0.002414260314170794,1.348621181598851,41.903017321641414,-87.63152289470456
Clinton St & Madison St,452.0,3605.0,0.005598701893897167,0.003200259926797938,4057.0,0.0023984419670992295,1.7494520046835749,41.88275006331282,-87.64119022354309
State St & 33rd St,246.0,990.0,0.0030470811192449183,0.0008788508536837611,1236.0,0.0021682302655611574,3.467116905395247,41.834734,-87.625813
Kimbark Ave & 53rd St,396.0,3161.0,0.00490505741146743,0.0028061086348427967,3557.0,0.002098948776624633,1.7479924342807156,41.7994549,-87.59477789999998
Loomis St & Lexington St,344.0,2686.0,0.004260958963496959,0.002384437770701598,3030.0,0.0018765211927953608,1.7869865294310798,41.87222873224032,-87.66136385500431
Desplaines St & Kinzie St,498.0,4859.0,0.006168481290178737,0.004313471008130702,5357.0,0.001855010282048035,1.4300503813520578,41.888716036,-87.6444478533
Halsted St & Clybourn Ave,449.0,4180.0,0.005561542368052717,0.003710703604442547,4629.0,0.00185083876361017,1.4987836437840676,41.909668,-87.648128
Wells St & Elm St,676.0,7437.0,0.008373279823616117,0.006602034140248617,8113.0,0.0017712456833675,1.2682878303039142,41.903222,-87.634324
Canal St & Madison St,306.0,2302.0,0.003790271636133923,0.0020435501668485028,2608.0,0.0017467214692854201,1.8547480961678862,41.882409,-87.639767
Milwaukee Ave & Wabansia Ave,168.0,388.0,0.0020809334472892127,0.0003444385163932316,556.0,0.001736494930895981,6.041509026256732,41.912616,-87.68139430306123
Aberdeen St & Jackson Blvd,337.0,2831.0,0.004174253403193242,0.002513158350281543,3168.0,0.001661095052911699,1.6609589052622593,41.87772613,-87.65478743
Kingsbury St & Erie St,415.0,3924.0,0.005140401075148948,0.0034834452018738167,4339.0,0.0016569558732751313,1.475665699210116,41.8939139,-87.6417358
Wells St & Hubbard St,431.0,4174.0,0.005338585212986016,0.003705377235632342,4605.0,0.001633207977353674,1.440766872771076,41.889906,-87.634266
Broadway & Waveland Ave,516.0,5366.0,0.006391438445245439,0.004763549172592992,5882.0,0.001627889272652447,1.3417386641623892,41.949074,-87.648636
Woodlawn Ave & 55th St,262.0,1897.0,0.003245265257081986,0.0016840202721596915,2159.0,0.0015612449849222946,1.9270933869618279,41.795264,-87.596471
Wells St & Concord Ln,722.0,8497.0,0.008943059219897687,0.007543025963384765,9219.0,0.0014000332565129213,1.1856062908576277,41.912133,-87.634656
Wells St & Huron St,509.0,5543.0,0.006304732884941722,0.004920677052494027,6052.0,0.0013840558324476945,1.2812733972193509,41.89478399980203,-87.6343724037867
Wolcott Ave & Polk St,179.0,965.0,0.002217185042052197,0.0008566576503079085,1144.0,0.0013605273917442883,2.5881791320910312,41.871262,-87.673688
