date,TMAX,TMIN,TAVG,PRCP,SNOW,SNWD,rain_condition,cold_condition,snow_condition
2025-01-01,36.0,25.0,30.5,0.0,,0.0,dry,cold,no_snow
2025-01-02,33.0,25.0,29.0,0.0,,0.0,dry,cold,no_snow
2025-01-03,27.0,19.0,23.0,0.0,,0.0,dry,cold,no_snow
2025-01-04,26.0,14.0,20.0,0.0,,0.0,dry,cold,no_snow
2025-01-05,30.0,17.0,23.5,0.01,,0.0,rainy,cold,no_snow
2025-01-06,32.0,24.0,28.0,0.0,,0.0,dry,cold,no_snow
2025-01-07,28.0,17.0,22.5,0.0,,0.0,dry,cold,no_snow
2025-01-08,28.0,15.0,21.5,0.0,,0.0,dry,cold,no_snow
2025-01-09,29.0,15.0,22.0,0.0,,0.0,dry,cold,no_snow
2025-01-10,30.0,21.0,25.5,0.04,,0.0,rainy,cold,no_snow
2025-01-11,33.0,27.0,30.0,0.0,,1.0,dry,cold,snowy
2025-01-12,36.0,21.0,28.5,0.02,,1.0,rainy,cold,snowy
2025-01-13,21.0,10.0,15.5,0.0,,1.0,dry,cold,snowy
2025-01-14,18.0,10.0,14.0,0.0,,0.0,dry,cold,no_snow
2025-01-15,20.0,5.0,12.5,0.0,,1.0,dry,cold,snowy
2025-01-16,39.0,19.0,29.0,0.0,,1.0,dry,cold,snowy
2025-01-17,46.0,27.0,36.5,0.0,,0.0,dry,cold,no_snow
2025-01-18,42.0,17.0,29.5,0.0,,0.0,dry,cold,no_snow
2025-01-19,17.0,2.0,9.5,0.0,,0.0,dry,cold,no_snow
2025-01-20,13.0,0.0,6.5,0.0,,0.0,dry,cold,no_snow
2025-01-21,2.0,-6.0,-2.0,0.0,,0.0,dry,cold,no_snow
2025-01-22,26.0,0.0,13.0,0.01,,0.0,rainy,cold,no_snow
2025-01-23,26.0,9.0,17.5,0.0,,0.0,dry,cold,no_snow
2025-01-24,24.0,4.0,14.0,0.0,,0.0,dry,cold,no_snow
2025-01-25,44.0,23.0,33.5,0.0,,0.0,dry,cold,no_snow
2025-01-26,33.0,19.0,26.0,0.0,,0.0,dry,cold,no_snow
2025-01-27,45.0,18.0,31.5,0.0,,0.0,dry,cold,no_snow
2025-01-28,49.0,28.0,38.5,0.0,,0.0,dry,cold,no_snow
2025-01-29,48.0,33.0,40.5,0.0,,0.0,dry,mild,no_snow
2025-01-30,49.0,29.0,39.0,0.27,,0.0,rainy,cold,no_snow
2025-01-31,41.0,35.0,38.0,0.81,,0.0,rainy,cold,no_snow
2025-02-01,35.0,31.0,33.0,0.0,,0.0,dry,cold,no_snow
2025-02-02,45.0,32.0,38.5,0.0,,0.0,dry,cold,no_snow
2025-02-03,48.0,34.0,41.0,0.0,,0.0,dry,mild,no_snow
2025-02-04,35.0,25.0,30.0,0.0,,0.0,dry,cold,no_snow
2025-02-05,32.0,27.0,29.5,0.0,,0.0,dry,cold,no_snow
2025-02-06,39.0,28.0,33.5,0.0,,0.0,dry,cold,no_snow
2025-02-07,33.0,21.0,27.0,0.0,,0.0,dry,cold,no_snow
2025-02-08,34.0,29.0,31.5,0.0,,0.0,dry,cold,no_snow
2025-02-09,33.0,23.0,28.0,0.0,,0.0,dry,cold,no_snow
2025-02-10,37.0,17.0,27.0,0.0,,0.0,dry,cold,no_snow
2025-02-11,30.0,25.0,27.5,0.0,,0.0,dry,cold,no_snow
2025-02-12,30.0,25.0,27.5,0.04,,0.0,rainy,cold,no_snow
2025-02-13,28.0,7.0,17.5,0.0,,1.2,dry,cold,snowy
2025-02-14,28.0,5.0,16.5,0.12,,1.2,rainy,cold,snowy
2025-02-15,35.0,28.0,31.5,0.0,,2.0,dry,cold,snowy
2025-02-16,29.0,10.0,19.5,0.0,,2.0,dry,cold,snowy
2025-02-17,12.0,2.0,7.0,0.0,,2.0,dry,cold,snowy
2025-02-18,16.0,-2.0,7.0,0.0,,2.0,dry,cold,snowy
2025-02-19,19.0,7.0,13.0,0.0,,1.2,dry,cold,snowy
2025-02-20,25.0,5.0,15.0,0.0,,1.2,dry,cold,snowy
2025-02-21,29.0,11.0,20.0,0.0,,0.0,dry,cold,no_snow
2025-02-22,35.0,15.0,25.0,0.0,,1.2,dry,cold,snowy
2025-02-23,47.0,25.0,36.0,0.0,,1.2,dry,cold,snowy
2025-02-24,57.0,38.0,47.5,0.0,,0.0,dry,mild,no_snow
2025-02-25,57.0,37.0,47.0,0.0,,0.0,dry,mild,no_snow
2025-02-26,51.0,37.0,44.0,0.04,,0.0,rainy,mild,no_snow
2025-02-27,51.0,35.0,43.0,0.0,,0.0,dry,mild,no_snow
2025-02-28,60.0,34.0,47.0,0.0,,0.0,dry,mild,no_snow
2025-03-01,36.0,21.0,28.5,0.0,,0.0,dry,cold,no_snow
2025-03-02,38.0,18.0,28.0,0.0,,0.0,dry,cold,no_snow
2025-03-03,49.0,33.0,41.0,0.0,,0.0,dry,mild,no_snow
2025-03-04,49.0,44.0,46.5,0.73,,0.0,rainy,mild,no_snow
2025-03-05,54.0,31.0,42.5,0.22,,0.0,rainy,mild,no_snow
2025-03-06,43.0,29.0,36.0,0.0,,0.0,dry,cold,no_snow
2025-03-07,40.0,33.0,36.5,0.09,,0.0,rainy,cold,no_snow
2025-03-08,51.0,31.0,41.0,0.0,,0.0,dry,mild,no_snow
2025-03-09,59.0,33.0,46.0,0.0,,0.0,dry,mild,no_snow
2025-03-10,70.0,41.0,55.5,0.0,,0.0,dry,mild,no_snow
2025-03-11,60.0,38.0,49.0,0.0,,0.0,dry,mild,no_snow
2025-03-12,53.0,38.0,45.5,0.0,,0.0,dry,mild,no_snow
2025-03-13,60.0,36.0,48.0,0.0,,0.0,dry,mild,no_snow
2025-03-14,80.0,50.0,65.0,0.2,,,rainy,mild,no_snow
2025-03-15,67.0,43.0,55.0,0.33,,,rainy,mild,no_snow
2025-03-16,44.0,29.0,36.5,0.16,,,rainy,cold,no_snow
2025-03-17,54.0,27.0,40.5,0.0,,,dry,mild,no_snow
2025-03-18,73.0,46.0,59.5,0.0,,,dry,mild,no_snow
2025-03-19,50.0,37.0,43.5,0.64,,,rainy,mild,no_snow
2025-03-20,45.0,32.0,38.5,0.16,,1.2,rainy,cold,snowy
2025-03-21,61.0,32.0,46.5,0.0,,,dry,mild,no_snow
2025-03-22,50.0,35.0,42.5,0.0,,,dry,mild,no_snow
2025-03-23,50.0,36.0,43.0,0.22,,,rainy,mild,no_snow
2025-03-24,51.0,35.0,43.0,0.0,,,dry,mild,no_snow
2025-03-25,52.0,32.0,42.0,0.0,,,dry,mild,no_snow
2025-03-26,54.0,32.0,43.0,0.0,,,dry,mild,no_snow
2025-03-27,55.0,44.0,49.5,0.0,,,dry,mild,no_snow
2025-03-28,80.0,49.0,64.5,0.4,,,rainy,mild,no_snow
2025-03-29,68.0,49.0,58.5,0.06,,,rainy,mild,no_snow
2025-03-30,78.0,43.0,60.5,0.18,,,rainy,mild,no_snow
2025-03-31,48.0,36.0,42.0,0.0,,,dry,mild,no_snow
2025-04-01,47.0,35.0,41.0,0.01,,,rainy,mild,no_snow
2025-04-02,72.0,42.0,57.0,1.67,,,rainy,mild,no_snow
2025-04-03,58.0,42.0,50.0,0.0,,,dry,mild,no_snow
2025-04-04,50.0,42.0,46.0,0.18,,,rainy,mild,no_snow
2025-04-05,54.0,41.0,47.5,0.15,,,rainy,mild,no_snow
2025-04-06,48.0,39.0,43.5,0.0,,,dry,mild,no_snow
2025-04-07,47.0,32.0,39.5,0.0,,,dry,cold,no_snow
2025-04-08,44.0,27.0,35.5,0.0,,,dry,cold,no_snow
2025-04-09,44.0,35.0,39.5,0.02,,,rainy,cold,no_snow
2025-04-10,45.0,40.0,42.5,0.0,,,dry,mild,no_snow
2025-04-11,52.0,37.0,44.5,0.0,,,dry,mild,no_snow
2025-04-12,61.0,36.0,48.5,0.0,,,dry,mild,no_snow
2025-04-13,66.0,53.0,59.5,0.0,,,dry,mild,no_snow
2025-04-14,66.0,50.0,58.0,0.0,,,dry,mild,no_snow
2025-04-15,58.0,40.0,49.0,0.01,,,rainy,mild,no_snow
2025-04-16,50.0,36.0,43.0,0.0,,,dry,mild,no_snow
2025-04-17,66.0,42.0,54.0,0.06,,,rainy,mild,no_snow
2025-04-18,78.0,62.0,70.0,0.29,,,rainy,mild,no_snow
2025-04-19,62.0,45.0,53.5,0.0,,,dry,mild,no_snow
2025-04-20,64.0,49.0,56.5,0.26,,,rainy,mild,no_snow
2025-04-21,64.0,46.0,55.0,0.01,,,rainy,mild,no_snow
2025-04-22,75.0,41.0,58.0,0.0,,,dry,mild,no_snow
2025-04-23,78.0,57.0,67.5,0.29,,,rainy,mild,no_snow
2025-04-24,77.0,52.0,64.5,0.0,,,dry,mild,no_snow
2025-04-25,61.0,47.0,54.0,0.22,,,rainy,mild,no_snow
2025-04-26,54.0,44.0,49.0,0.0,,,dry,mild,no_snow
2025-04-27,70.0,38.0,54.0,0.0,,,dry,mild,no_snow
2025-04-28,85.0,55.0,70.0,0.0,,,dry,mild,no_snow
2025-04-29,77.0,51.0,64.0,0.0,,,dry,mild,no_snow
2025-04-30,61.0,47.0,54.0,0.02,,,rainy,mild,no_snow
2025-05-01,73.0,52.0,62.5,0.3,,,rainy,mild,no_snow
2025-05-02,60.0,45.0,52.5,0.01,,,rainy,mild,no_snow
2025-05-03,55.0,44.0,49.5,0.0,,,dry,mild,no_snow
2025-05-04,57.0,46.0,51.5,0.12,,,rainy,mild,no_snow
2025-05-05,63.0,47.0,55.0,0.02,,,rainy,mild,no_snow
2025-05-06,77.0,46.0,61.5,0.0,,,dry,mild,no_snow
2025-05-07,74.0,49.0,61.5,0.0,,,dry,mild,no_snow
2025-05-08,59.0,45.0,52.0,0.0,,,dry,mild,no_snow
2025-05-09,65.0,40.0,52.5,0.0,,,dry,mild,no_snow
2025-05-10,77.0,47.0,62.0,0.0,,,dry,mild,no_snow
2025-05-11,72.0,45.0,58.5,0.0,,,dry,mild,no_snow
2025-05-12,81.0,53.0,67.0,0.01,,,rainy,mild,no_snow
2025-05-13,78.0,62.0,70.0,0.0,,,dry,mild,no_snow
2025-05-14,80.0,61.0,70.5,0.0,,,dry,mild,no_snow
2025-05-15,95.0,62.0,78.5,0.14,,,rainy,mild,no_snow
2025-05-16,89.0,63.0,76.0,0.0,,,dry,mild,no_snow
2025-05-17,72.0,55.0,63.5,0.0,,,dry,mild,no_snow
2025-05-18,62.0,48.0,55.0,0.0,,,dry,mild,no_snow
2025-05-19,57.0,45.0,51.0,0.0,,,dry,mild,no_snow
2025-05-20,58.0,50.0,54.0,0.5,,,rainy,mild,no_snow
2025-05-21,54.0,50.0,52.0,0.06,,,rainy,mild,no_snow
2025-05-22,58.0,47.0,52.5,0.0,,,dry,mild,no_snow
2025-05-23,64.0,43.0,53.5,0.0,,,dry,mild,no_snow
2025-05-24,65.0,46.0,55.5,0.01,,,rainy,mild,no_snow
2025-05-25,66.0,52.0,59.0,0.04,,,rainy,mild,no_snow
2025-05-26,68.0,47.0,57.5,0.0,,,dry,mild,no_snow
2025-05-27,68.0,54.0,61.0,0.0,,,dry,mild,no_snow
2025-05-28,64.0,56.0,60.0,0.42,,,rainy,mild,no_snow
2025-05-29,71.0,53.0,62.0,0.0,,,dry,mild,no_snow
2025-05-30,74.0,54.0,64.0,0.0,,,dry,mild,no_snow
2025-05-31,64.0,53.0,58.5,0.0,,,dry,mild,no_snow
2025-06-01,66.0,47.0,56.5,0.0,,,dry,mild,no_snow
2025-06-02,85.0,50.0,67.5,0.0,,,dry,mild,no_snow
2025-06-03,89.0,69.0,79.0,0.0,,,dry,mild,no_snow
2025-06-04,75.0,58.0,66.5,0.86,,,rainy,mild,no_snow
2025-06-05,72.0,56.0,64.0,0.0,,,dry,mild,no_snow
2025-06-06,78.0,61.0,69.5,0.0,,,dry,mild,no_snow
2025-06-07,78.0,59.0,68.5,0.07,,,rainy,mild,no_snow
2025-06-08,82.0,60.0,71.0,0.59,,,rainy,mild,no_snow
2025-06-09,74.0,56.0,65.0,0.0,,,dry,mild,no_snow
2025-06-10,79.0,56.0,67.5,0.0,,,dry,mild,no_snow
2025-06-11,91.0,65.0,78.0,0.0,,,dry,mild,no_snow
2025-06-12,82.0,64.0,73.0,0.0,,,dry,mild,no_snow
2025-06-13,72.0,64.0,68.0,0.03,,,rainy,mild,no_snow
2025-06-14,75.0,62.0,68.5,0.0,,,dry,mild,no_snow
2025-06-15,81.0,60.0,70.5,0.0,,,dry,mild,no_snow
2025-06-16,86.0,64.0,75.0,0.0,,,dry,mild,no_snow
2025-06-17,92.0,73.0,82.5,1.38,,,rainy,mild,no_snow
2025-06-18,83.0,68.0,75.5,1.27,,,rainy,mild,no_snow
2025-06-19,84.0,66.0,75.0,0.71,,,rainy,mild,no_snow
2025-06-20,86.0,70.0,78.0,0.0,,,dry,mild,no_snow
2025-06-21,95.0,77.0,86.0,0.0,,,dry,mild,no_snow
2025-06-22,95.0,79.0,87.0,0.0,,,dry,mild,no_snow
2025-06-23,95.0,78.0,86.5,0.0,,,dry,mild,no_snow
2025-06-24,96.0,75.0,85.5,0.04,,,rainy,mild,no_snow
2025-06-25,89.0,72.0,80.5,0.42,,,rainy,mild,no_snow
2025-06-26,95.0,77.0,86.0,0.0,,,dry,mild,no_snow
2025-06-27,89.0,75.0,82.0,0.0,,,dry,mild,no_snow
2025-06-28,86.0,71.0,78.5,0.0,,,dry,mild,no_snow
2025-06-29,93.0,74.0,83.5,0.0,,,dry,mild,no_snow
2025-06-30,91.0,75.0,83.0,0.0,,,dry,mild,no_snow
2025-07-01,88.0,72.0,80.0,0.0,,,dry,mild,no_snow
2025-07-02,91.0,71.0,81.0,0.0,,,dry,mild,no_snow
2025-07-03,92.0,73.0,82.5,0.0,,,dry,mild,no_snow
2025-07-04,92.0,75.0,83.5,0.1,,,rainy,mild,no_snow
2025-07-05,94.0,77.0,85.5,0.0,,,dry,mild,no_snow
2025-07-06,88.0,69.0,78.5,0.58,,,rainy,mild,no_snow
2025-07-07,82.0,67.0,74.5,0.0,,,dry,mild,no_snow
2025-07-08,85.0,70.0,77.5,0.05,,,rainy,mild,no_snow
2025-07-09,84.0,70.0,77.0,0.0,,,dry,mild,no_snow
2025-07-10,84.0,70.0,77.0,0.75,,,rainy,mild,no_snow
2025-07-11,91.0,72.0,81.5,0.54,,,rainy,mild,no_snow
2025-07-12,84.0,72.0,78.0,0.01,,,rainy,mild,no_snow
2025-07-13,84.0,69.0,76.5,0.0,,,dry,mild,no_snow
2025-07-14,87.0,66.0,76.5,0.0,,,dry,mild,no_snow
2025-07-15,92.0,71.0,81.5,0.0,,,dry,mild,no_snow
