end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat,end_lng
Streeter Dr & Grand Ave,12436.0,5418.0,0.005322315506829007,0.007075619541142547,17854.0,0.0017533040343135397,1.3294249847907191,41.892278002970286,-87.61204300164603
Clinton St & Washington Blvd,21485.0,7615.0,0.009195074675476134,0.00994478457102261,29100.0,0.000749709895546475,1.0815338472467388,41.883378993326986,-87.64117008864396
Clinton St & Jackson Blvd,15718.0,5695.0,0.006726934314597807,0.007437366793430565,21413.0,0.0007104324788327577,1.1056101249094936,41.87831662050808,-87.64098109175531
Halsted St & Fulton St,7573.0,2969.0,0.00324106588398328,0.003877355927953529,10542.0,0.0006362900439702492,1.1963211703882664,41.88685835666811,-87.64802209919087
University Ave & 57th St,12086.0,4311.0,0.005172523738785411,0.005629936478749634,16397.0,0.00045741273996422263,1.0884312329208174,41.791478002955266,-87.59986050810642
Clark St & Elm St,15430.0,5380.0,0.0066036770883219345,0.007025993564294371,20810.0,0.00042231647597243665,1.0639517054471914,41.903017321641414,-87.63152289470456
Kingsbury St & Kinzie St,23207.0,7887.0,0.009932050174250624,0.010300002089514815,31094.0,0.00036795191526419087,1.037046921004407,41.889172621529056,-87.63849963502554
Canal St & Madison St,19899.0,6794.0,0.008516303977998584,0.008872602281750177,26693.0,0.000356298303751593,1.0418371940262907,41.882409,-87.639767
Ashland Ave & Division St,7498.0,2709.0,0.003208967647973938,0.0035378097705712733,10207.0,0.00032884212259733526,1.1024759537008746,41.90318794361149,-87.66894633544676
Orleans St & Merchandise Mart Plaza,12521.0,4344.0,0.005358693507639594,0.005673032721801997,16865.0,0.0003143392141624034,1.0586596630418599,41.888243,-87.63638999999999
Streeter Dr/Grand Ave,1505.0,726.0,0.0006441046025874602,0.0009481173471519913,2231.0,0.0003040127445645311,1.4719920822661228,41.89240100000001,-87.612388
