end_station_name,return_count_dry,return_count_rainy,return_share_dry,return_share_rainy,total_return_count,rainy_minus_dry_share,rainy_dry_share_ratio,end_lat,end_lng
Streeter Dr & Grand Ave,8026.0,4045.0,0.009324393873736136,0.011675532759322387,12071.0,0.002351138885586251,1.2521492190564198,41.892278002970286,-87.61204300164603
Shedd Aquarium,5663.0,2652.0,0.006579123163090922,0.00765476214529616,8315.0,0.0010756389822052384,1.1634927317893777,41.867225962011034,-87.61535540410257
Field Museum,3024.0,1583.0,0.0035132029746047936,0.004569188716441863,4607.0,0.0010559857418370698,1.3005762686909916,41.8653120005395,-87.61786701481803
Streeter Dr/Grand Ave,757.0,591.0,0.0008794625171216365,0.001705868939619167,1348.0,0.0008264064224975304,1.9396710681100737,41.89240100000001,-87.612388
Michigan Ave & 8th St,4183.0,1969.0,0.004859698426842544,0.005683343387665211,6152.0,0.0008236449608226672,1.1694847537840025,41.87277296771354,-87.62398098838872
Dearborn St & Erie St,4166.0,1846.0,0.004839948277845096,0.005328314826627719,6012.0,0.0004883665487826231,1.1009032369446772,41.893992,-87.629318
Kingsbury St & Kinzie St,6239.0,2680.0,0.007248304682063263,0.007735581655125833,8919.0,0.0004872769730625698,1.0672263277014367,41.889172621529056,-87.63849963502554
Sheffield Ave & Fullerton Ave,2617.0,1222.0,0.0030403611721364896,0.003527194321852152,3839.0,0.0004868331497156625,1.1601234070655342,41.9256163,-87.65365740000001
Michigan Ave & Washington St,3845.0,1711.0,0.004467018993834468,0.004938649332806082,5556.0,0.0004716303389716136,1.1055805301123733,41.88398406449815,-87.62468397185215
Dusable Harbor,6144.0,2617.0,0.007137936202371645,0.007553737758009069,8761.0,0.00041580155563742446,1.0582523415167158,41.88697599432289,-87.61281299950515
Sangamon St & Lake St,1630.0,800.0,0.0018936907568140918,0.002309128852276368,2430.0,0.0004154380954622763,1.2193799988659193,41.88577925240433,-87.65102460980414
Daley Center Plaza,2229.0,1037.0,0.0025895930656065097,0.0029932082747632423,3266.0,0.0004036152091567327,1.1558604163167179,41.88424087537072,-87.62963348535213
Wilton Ave & Belmont Ave,4613.0,1994.0,0.005359261019130924,0.005755503664298847,6607.0,0.0003962426451679232,1.0739360463723286,41.940231918108594,-87.65294373035431
Halsted St & Roscoe St,3462.0,1520.0,0.004022059754656679,0.0043873448193251,4982.0,0.0003652850646684207,1.0908203746662701,41.943667741716816,-87.64895781893892
Clark St & Elm St,6014.0,2541.0,0.006986905651214692,0.007334370517042814,8555.0,0.00034746486582812146,1.0497308584719267,41.903017321641414,-87.63152289470456
Lincoln Ave & Fullerton Ave,3414.0,1494.0,0.00396629462807565,0.004312298131626117,4908.0,0.00034600350355046706,1.0872359339786126,41.924161029067626,-87.64638036489487
Sedgwick St & Webster Ave,2465.0,1106.0,0.0028637716046298997,0.003192370638272079,3571.0,0.00032859903364217905,1.1147434098332138,41.922167,-87.638888
Sheffield Ave & Wrightwood Ave,2875.0,1270.0,0.003340098727509518,0.0036657420529887345,4145.0,0.0003256433254792165,1.097495090579833,41.928712,-87.653833
Halsted St & Dickens Ave,2690.0,1189.0,0.0031251706354784707,0.003431942756695752,3879.0,0.0003067721212172813,1.0981616874205098,41.919936,-87.64883
Rush St & Hubbard St,1498.0,709.0,0.0017403366587162635,0.0020464654453299313,2207.0,0.0003061287866136678,1.1759019493030334,41.890173,-87.626185
Dearborn St & Monroe St,1610.0,749.0,0.00187045528740533,0.0021619218879437496,2359.0,0.00029146660053841955,1.1558264699907732,41.881319815,-87.6295209193
State St & Chicago Ave,4895.0,2071.0,0.005686881137794466,0.005977757316330448,6966.0,0.0002908761785359818,1.0511486208941885,41.896617200407526,-87.62857854366302
Ada St & Washington Blvd,898.0,462.0,0.0010432725764534076,0.0013335219121896026,1360.0,0.00029024933573619494,1.2782101859829453,41.88283,-87.661206
Wilton Ave & Diversey Pkwy*,834.0,435.0,0.0009689190743453696,0.0012555888134252752,1269.0,0.0002866697390799056,1.2958652077402646,41.932418,-87.652705
LaSalle St & Illinois St,3675.0,1577.0,0.004269517503859992,0.00455187025004979,5252.0,0.0002823527461897979,1.0661322221544485,41.890762,-87.631697
Wabash Ave & Grand Ave,4503.0,1910.0,0.005231465937382733,0.0055130451348098285,6413.0,0.0002815791974270952,1.0538241378178272,41.891466,-87.62676099999999
Ashland Ave & Chicago Ave,1115.0,544.0,0.001295377419538474,0.0015702076195479302,1659.0,0.00027483020000945626,1.2121620955422236,41.89595435734305,-87.6677280664444
Franklin St & Lake St,1301.0,614.0,0.0015114672850399591,0.0017722563941221126,1915.0,0.00026078910908215345,1.1725402455766771,41.885836999999995,-87.63549999999998
Dearborn Pkwy & Delaware Pl,4160.0,1764.0,0.004832977637022467,0.0050916291192693915,5924.0,0.0002586514822469242,1.0535180272193954,41.898969,-87.629912
Clark St & Lake St,2469.0,1082.0,0.002868418698511652,0.003123096772703788,3551.0,0.0002546780741921359,1.0887868934676057,41.88602073203813,-87.63087535800302
Burling St & Diversey Pkwy,2421.0,1060.0,0.0028126535719306235,0.003059595729266188,3481.0,0.0002469421573355643,1.087796830723533,41.93314,-87.64776
N Green St & W Lake St,660.0,351.0,0.0007667704904891414,0.0010131302839362566,1011.0,0.0002463597934471151,1.3212949314142552,41.885579,-87.648484
Canal St & Madison St,1799.0,809.0,0.0020900304733181296,0.0023351065518644773,2608.0,0.0002450760785463477,1.117259515789619,41.882409,-87.639767
Dearborn St & Van Buren St,1127.0,537.0,0.001309318701183731,0.001550002742090512,1664.0,0.00024068404090678112,1.1838237373875786,41.876268,-87.629155
State St & Kinzie St,2181.0,960.0,0.0025338279390254813,0.002770954622731642,3141.0,0.00023712668370616053,1.0935843300445374,41.8893754597427,-87.62707652193124
Michigan Ave & Lake St,3182.0,1362.0,0.0036967631829340126,0.0039312918710005165,4544.0,0.00023452868806650385,1.0634416144662941,41.886022,-87.624398
Halsted St & Willow St,1734.0,779.0,0.0020145151977396534,0.002248514219904113,2513.0,0.00023399902216445986,1.1161564361840395,41.913865,-87.648755
Benson Ave & Church St,965.0,469.0,0.00112111139897276,0.0013537267896470207,1434.0,0.00023261539067426077,1.2074862349996298,42.048214,-87.683485
Wells St & Randolph St,1404.0,644.0,0.0016311299524950828,0.0018588487260824762,2048.0,0.00022771877358739338,1.1396079040981106,41.884295,-87.633963
Mies van der Rohe Way & Chicago Ave,2261.0,986.0,0.0026267698166605284,0.002846001310430624,3247.0,0.0002192314937700954,1.0834604573720708,41.89694462637082,-87.62175768613815
Wabash Ave & 9th St,2496.0,1079.0,0.0028997865822134807,0.0031144375395077513,3575.0,0.0002146509572942706,1.0740229934809302,41.870769,-87.625734
Ashland Ave & Division St,2474.0,1069.0,0.0028742275658638424,0.003085573428854297,3543.0,0.00021134586299045464,1.0735313348077227,41.90318794361149,-87.66894633544676
Columbus Dr & Randolph St,3283.0,1393.0,0.0038141023034482598,0.004020770614026226,4676.0,0.00020666831057796582,1.0541852944546943,41.884728,-87.619521
Halsted St & Clybourn Ave,3250.0,1379.0,0.0037757637789238028,0.003980360859111389,4629.0,0.00020459708018758654,1.0541869242834303,41.909668,-87.648128
Cityfront Plaza Dr & Pioneer Ct,2116.0,922.0,0.002458312663447005,0.002661271002248514,3038.0,0.00020295833880150903,1.082559984846248,41.890573,-87.622072
Southport Ave & Roscoe St,3399.0,1438.0,0.003948868026019079,0.004150659111966772,4837.0,0.00020179108594769318,1.05110098223519,41.943738999999994,-87.66402
