end_station_name,return_count_weekday,return_count_weekend,return_share_weekday,return_share_weekend,condition_type,condition_value,weekend_minus_weekday_share_under_weather,total_return_count_under_weather,end_lat,end_lng
2112 W Peterson Ave,41.0,33.0,0.00014336917562724014,0.00040875478428895246,cold,cold,0.0002653856086617123,74.0,41.99117799999999,-87.683593
900 W Harrison St,862.0,156.0,0.003014249497333683,0.0019322953439114116,cold,cold,-0.0010819541534222714,1018.0,41.874754,-87.649807
Aberdeen St & Carroll Ave,275.0,58.0,0.000961622519451001,0.000718417499659371,cold,cold,-0.00024320501979162995,333.0,41.88819,-87.65459
Aberdeen St & Jackson Blvd,1085.0,337.0,0.003794037940379404,0.004174253403193242,cold,cold,0.0003802154628138382,1422.0,41.87772613,-87.65478743
Aberdeen St & Monroe St,687.0,136.0,0.0024023078940466824,0.0016845651716150768,cold,cold,-0.0007177427224316056,823.0,41.880381631942605,-87.65540930667021
Aberdeen St & Randolph St,914.0,171.0,0.003196083573738963,0.002118092973133663,cold,cold,-0.0010779906006053003,1085.0,41.88411416441933,-87.65426402007539
Ada St & Washington Blvd,645.0,109.0,0.0022554419092578023,0.001350129439015025,cold,cold,-0.0009053124702427774,754.0,41.88283,-87.661206
Adler Planetarium,222.0,107.0,0.0007762916338840808,0.0013253564217853913,cold,cold,0.0005490647879013105,329.0,41.866095,-87.607267
Albany Ave & Bloomingdale Ave,238.0,96.0,0.0008322405804703208,0.0011891048270224072,cold,cold,0.0003568642465520864,334.0,41.91402671273,-87.70512646200001
Albany Ave & Montrose Ave,134.0,52.0,0.00046857242765976047,0.0006440984479704706,cold,cold,0.0001755260203107101,186.0,41.96104100000001,-87.705866
Archer (Damen) Ave & 37th St,37.0,16.0,0.00012938193898068013,0.00019818413783706786,cold,cold,6.880219885638773e-05,53.0,41.826712,-87.683144
Archer Ave & Wentworth Ave,34.0,17.0,0.00011889151149576012,0.0002105706464518846,cold,cold,9.167913495612448e-05,51.0,41.8546868,-87.6308531
